Group,Group Name,Name,Date,Time,Latitude,Longitude,Altitude,Alarm
U,POTA-AT,28 Karwendel Nature Reserve,09/04/2025,00:00:00,47.375,11.416666666666666,,OFF
U,POTA-AT,29 Kaunergrat Nature Reserve,09/04/2025,00:00:00,47.375,11.416666666666666,,OFF
U,POTA-AT,35 Oetztal Nature Reserve,09/04/2025,00:00:00,46.875,10.916666666666666,,OFF
U,POTA-AT,39 Hohe Tauern National Park,09/04/2025,00:00:00,47.041666666666664,12.666666666666666,,OFF
U,POTA-AT,47 Botanischer Garten Innsbruck County Showground,09/04/2025,00:00:00,47.25,11.333333333333334,,OFF
U,POTA-AT,51 Kalkhochalpen Hochkoenig Nature Reserve,09/04/2025,00:00:00,47.416666666666664,13.0,,OFF
U,POTA-AT,52 Felbertal Ammertal Dorferoed Nature Reserve,09/04/2025,00:00:00,47.166666666666664,12.5,,OFF
U,POTA-AT,72 Naturschutzgebiet Karwendel Nature Reserve,09/04/2025,00:00:00,47.291666666666664,11.333333333333334,,OFF
U,POTA-AT,73 Otztaler Alpen Nature Reserve,09/04/2025,00:00:00,46.833333333333336,10.916666666666666,,OFF
U,POTA-AT,74 Baerenkopf Nature Reserve,09/04/2025,00:00:00,47.375,11.666666666666666,,OFF
U,POTA-AT,75 Stubaier Alpen Nature Reserve,09/04/2025,00:00:00,47.0,11.0,,OFF
U,POTA-AT,78 Patscherkofel-Zirmberg Nature Reserve,09/04/2025,00:00:00,47.208333333333336,11.416666666666666,,OFF
U,POTA-AT,161 Nordkette Landscape Reserve,09/04/2025,00:00:00,47.291666666666664,11.416666666666666,,OFF
U,POTA-AT,162 Martinswand-Solstein-Reitherspitze National Park,09/04/2025,00:00:00,47.25,11.25,,OFF
U,POTA-AT,163 Arzler Kalvarienberg Landscape Reserve,09/04/2025,00:00:00,47.25,11.416666666666666,,OFF
U,POTA-AT,164 Kalkkoegel Landscape Reserve,09/04/2025,00:00:00,47.166666666666664,11.25,,OFF
U,POTA-AT,165 Rosengarten National Reserve,09/04/2025,00:00:00,47.208333333333336,11.333333333333334,,OFF
U,POTA-AT,166 Feuchtgebiete um die Thierburg Landscape Reserve,09/04/2025,00:00:00,47.291666666666664,11.583333333333334,,OFF
U,POTA-AT,167 Kerschbaumeralmtal und Galitzenbachgraben Lands...,09/04/2025,00:00:00,46.75,12.75,,OFF
U,POTA-AT,168 Alter See Nature Monument,09/04/2025,00:00:00,46.791666666666664,12.75,,OFF
U,POTA-AT,169 Wacholdergruppen und Baumwacholderhain in Forch...,09/04/2025,00:00:00,46.75,12.833333333333334,,OFF
U,POTA-AT,282 European long-distance hiking trail (E4) Nation...,09/04/2025,00:00:00,48.041666666666664,16.083333333333332,,OFF
U,POTA-AT,291 Zentralalpenweg 02 National Scenic Trail,09/04/2025,00:00:00,47.25,14.75,,OFF
U,POTA-AT,297 Serles - Habicht - Zuckerhuetl National Park,09/04/2025,00:00:00,47.0,11.25,,OFF
U,POTA-AT,308 Tiefer-Wald Natura 2000,09/04/2025,00:00:00,46.875,10.416666666666666,,OFF
U,POTA-AT,309 Naturdenkmal Piller Moor Nature Reserve,09/04/2025,00:00:00,47.083333333333336,10.583333333333334,,OFF
U,POTA-AT,315 Moorlandschaft Schwemm Protected Area,09/04/2025,00:00:00,47.625,12.25,,OFF
