Group,Group Name,Name,Date,Time,Latitude,Longitude,Altitude,Alarm
W,POTA-SG,2 Ang Mo Kio Town Garden East National Park,09/04/2025,00:00:00,1.3707,103.85,,OFF
W,POTA-SG,3 Ang Mo Kio Town Garden West National Park,09/04/2025,00:00:00,1.3744,103.843,,OFF
W,POTA-SG,14 Bishan-Ang Mo Kio Park National Park,09/04/2025,00:00:00,1.3636,103.842,,OFF
W,POTA-SG,17 Fort Canning Park National Historical Park,09/04/2025,00:00:00,1.2945,103.846,,OFF
W,POTA-SG,26 Kallang Riverside Park National Park,09/04/2025,00:00:00,1.307,103.868,,OFF
W,POTA-SG,31 Lower Peirce Reservoir Park National Park,09/04/2025,00:00:00,1.372,103.826,,OFF
W,POTA-SG,33 MacRitchie Reservoir Park National Park,09/04/2025,00:00:00,1.3448,103.822,,OFF
W,POTA-SG,35 Mount Faber Park National Park,09/04/2025,00:00:00,1.2738,103.817,,OFF
W,POTA-SG,36 Singapore Botanic Gardens National Park,09/04/2025,00:00:00,1.3117,103.815,,OFF
W,POTA-SG,38 Pearl's Hill City Park National Park,09/04/2025,00:00:00,1.2847,103.84,,OFF
W,POTA-SG,44 Sengkang Riverside Park National Park,09/04/2025,00:00:00,1.3982,103.884,,OFF
W,POTA-SG,51 Tiong Bahru Park National Park,09/04/2025,00:00:00,1.2874,103.825,,OFF
W,POTA-SG,52 Toa Payoh Town Park National Park,09/04/2025,00:00:00,1.3308,103.847,,OFF
W,POTA-SG,55 Mount Emily Park National Park,09/04/2025,00:00:00,1.3046,103.848,,OFF
W,POTA-SG,56 Windsor Nature Park National Park,09/04/2025,00:00:00,1.3599,103.827,,OFF
W,POTA-SG,66 Thompson Nature Park National Park,09/04/2025,00:00:00,1.3834,103.822,,OFF
