Group,Group Name,Name,Date,Time,Latitude,Longitude,Altitude,Alarm
W,POTA-SG,1 Admiralty National Park,09/04/2025,00:00:00,1.4484,103.779,,OFF
W,POTA-SG,7 Bukit Timah Nature Reserve,09/04/2025,00:00:00,1.3541,103.777,,OFF
W,POTA-SG,8 Central Catchment Nature Reserve,09/04/2025,00:00:00,1.367,103.8,,OFF
W,POTA-SG,10 Chestnut Nature Park,09/04/2025,00:00:00,1.3712,103.78,,OFF
W,POTA-SG,18 Hindhede Nature Park,09/04/2025,00:00:00,1.3489,103.776,,OFF
W,POTA-SG,27 Dairy Farm Nature Park National Park,09/04/2025,00:00:00,1.3638,103.775,,OFF
W,POTA-SG,32 Lower Seletar Reservoir Park National Park,09/04/2025,00:00:00,1.4106,103.833,,OFF
W,POTA-SG,34 Marsiling Park National Park,09/04/2025,00:00:00,1.4381,103.771,,OFF
W,POTA-SG,43 Sembawang Park National Park,09/04/2025,00:00:00,1.4604,103.836,,OFF
W,POTA-SG,45 Springleaf Nature Park National Park,09/04/2025,00:00:00,1.4012,103.819,,OFF
W,POTA-SG,53 Upper Peirce Reservoir Park National Park,09/04/2025,00:00:00,1.3747,103.811,,OFF
W,POTA-SG,54 Upper Seletar Reservoir Park National Park,09/04/2025,00:00:00,1.3969,103.803,,OFF
W,POTA-SG,57 Yishun Neighbourhood Park National Park,09/04/2025,00:00:00,1.4379,103.835,,OFF
W,POTA-SG,58 Yishun Park National Park,09/04/2025,00:00:00,1.4244,103.842,,OFF
W,POTA-SG,59 Yishun Pond Park National Park,09/04/2025,00:00:00,1.4279,103.84,,OFF
W,POTA-SG,61 Zhenghua Nature Park National Park,09/04/2025,00:00:00,1.3858,103.774,,OFF
W,POTA-SG,65 Rifle Range Nature Park National Park,09/04/2025,00:00:00,1.344,103.781,,OFF
W,POTA-SG,68 Woodlands Town Park East National Park,09/04/2025,00:00:00,1.4366,103.779,,OFF
W,POTA-SG,69 Woodlands Waterfront Park National Park,09/04/2025,00:00:00,1.4531,103.78,,OFF
