Group,Group Name,Name,Date,Time,Latitude,Longitude,Altitude,Alarm
U,POTA-AT,8 Neusiedel Mole West State Harbor,09/04/2025,00:00:00,47.916666666666664,16.833333333333332,,OFF
U,POTA-AT,22 Geschriebenstein-Irottko Nature Reserve,09/04/2025,00:00:00,47.333333333333336,16.416666666666668,,OFF
U,POTA-AT,30 Landseer Berge Nature Reserve,09/04/2025,00:00:00,47.625,16.333333333333332,,OFF
U,POTA-AT,34 Neusiedler See Natura 2000 Nature Reserve,09/04/2025,00:00:00,47.833333333333336,16.75,,OFF
U,POTA-AT,40 Neusiedler See Seewinkel National Park,09/04/2025,00:00:00,47.75,16.75,,OFF
U,POTA-AT,56 Suedburgenlandisches Huegel- Und Terrassenland ...,09/04/2025,00:00:00,47.083333333333336,16.333333333333332,,OFF
U,POTA-AT,181 Feuchte Ebene - Leithaauen (Natura 2000) Natura...,09/04/2025,00:00:00,47.875,16.416666666666668,,OFF
U,POTA-AT,182 Schlosspark Eisenstadt Country Park,09/04/2025,00:00:00,47.833333333333336,16.5,,OFF
U,POTA-AT,183 Mattersburger Huegelland Natura 2000,09/04/2025,00:00:00,47.708333333333336,16.333333333333332,,OFF
U,POTA-AT,184 Parndorfer Platte - Heideboden Natura 2000,09/04/2025,00:00:00,48.0,16.833333333333332,,OFF
U,POTA-AT,185 Naturpark Rosalia Kogelberg Nature Park,09/04/2025,00:00:00,47.708333333333336,16.416666666666668,,OFF
U,POTA-AT,186 Lafnitztal Natura 2000,09/04/2025,00:00:00,47.0,16.083333333333332,,OFF
U,POTA-AT,200 NATURPARK RAAB-OeRSEG-GORICKO Nature Park,09/04/2025,00:00:00,46.916666666666664,16.083333333333332,,OFF
U,POTA-AT,201 Naturpark in der Weinidylle Nature Park,09/04/2025,00:00:00,47.041666666666664,16.416666666666668,,OFF
U,POTA-AT,202 Siegendorfer Puszta und Heide Nature Park,09/04/2025,00:00:00,47.75,16.5,,OFF
U,POTA-AT,207 Kurpark Bad Sauerbrunn Park,09/04/2025,00:00:00,47.75,16.25,,OFF
U,POTA-AT,208 Kurpark Bad Tatzmannsdorf Park,09/04/2025,00:00:00,47.333333333333336,16.166666666666668,,OFF
U,POTA-AT,210 Stotzinger Heide Protected Area,09/04/2025,00:00:00,47.875,16.5,,OFF
U,POTA-AT,214 Zylinderteich Protected Area,09/04/2025,00:00:00,47.875,16.416666666666668,,OFF
U,POTA-AT,215 Bubanj Protected Area,09/04/2025,00:00:00,47.875,16.416666666666668,,OFF
U,POTA-AT,220 Fronwiesen und Kuhlacke Protected Area,09/04/2025,00:00:00,47.833333333333336,16.5,,OFF
U,POTA-AT,221 Goldberg Protected Area,09/04/2025,00:00:00,47.833333333333336,16.583333333333332,,OFF
U,POTA-AT,222 Weisses Kreuz Protected Area,09/04/2025,00:00:00,47.833333333333336,16.416666666666668,,OFF
U,POTA-AT,223 Naturschutzgebiet Thenau Protected Area,09/04/2025,00:00:00,47.916666666666664,16.666666666666668,,OFF
U,POTA-AT,224 Naturpark Neusiedler See - Leithagebirge Nature...,09/04/2025,00:00:00,47.916666666666664,16.666666666666668,,OFF
U,POTA-AT,227 Forchtenstein Castle Historic Site,09/04/2025,00:00:00,47.708333333333336,16.25,,OFF
U,POTA-AT,228 Rosalienkapelle Historic Site,09/04/2025,00:00:00,47.666666666666664,16.25,,OFF
U,POTA-AT,230 Burgruine Hornstein Historic Site,09/04/2025,00:00:00,47.875,16.416666666666668,,OFF
U,POTA-AT,231 Roemersteinbruch St.Margarethen Historic Site,09/04/2025,00:00:00,47.791666666666664,16.583333333333332,,OFF
U,POTA-AT,232 Seebad Rust Recreation Site,09/04/2025,00:00:00,47.791666666666664,16.666666666666668,,OFF
U,POTA-AT,233 Tor zur Freiheit (Gate To Freedom) Historic Site,09/04/2025,00:00:00,47.75,16.583333333333332,,OFF
U,POTA-AT,240 Neufeldersee Recreation Site,09/04/2025,00:00:00,47.833333333333336,16.333333333333332,,OFF
U,POTA-AT,241 Hackelsberg Protected Area,09/04/2025,00:00:00,47.916666666666664,16.75,,OFF
U,POTA-AT,242 Jungerberg Protected Area,09/04/2025,00:00:00,47.958333333333336,16.75,,OFF
U,POTA-AT,246 Noplerberg-Biri Protected Area,09/04/2025,00:00:00,47.5,16.416666666666668,,OFF
U,POTA-AT,247 Naherholungsgebiet Oberwart Multiple Use Area,09/04/2025,00:00:00,47.291666666666664,16.166666666666668,,OFF
U,POTA-AT,255 Batthyanyfeld Protected Area,09/04/2025,00:00:00,48.0,16.666666666666668,,OFF
U,POTA-AT,259 Zurndorfer Eichenwald und Hutweide Protected Area,09/04/2025,00:00:00,47.916666666666664,17.0,,OFF
U,POTA-AT,260 Pfarrwiesen Illmitz Protected Area,09/04/2025,00:00:00,47.75,16.75,,OFF
U,POTA-AT,261 Bridge at Andau Historic Site,09/04/2025,00:00:00,47.666666666666664,17.0,,OFF
U,POTA-AT,262 Frauenwiesen Protected Area,09/04/2025,00:00:00,47.916666666666664,16.5,,OFF
U,POTA-AT,263 Rochuskapelle und Hetscherlberg Protected Area,09/04/2025,00:00:00,47.833333333333336,16.5,,OFF
U,POTA-AT,264 Hoelzlstein Protected Area,09/04/2025,00:00:00,47.833333333333336,16.583333333333332,,OFF
U,POTA-AT,272 Friedenspark Hirm Park,09/04/2025,00:00:00,47.75,16.416666666666668,,OFF
U,POTA-AT,281 East Austrian borderland route (07) National Re...,09/04/2025,00:00:00,48.125,16.583333333333332,,OFF
U,POTA-AT,282 European long-distance hiking trail (E4) Nation...,09/04/2025,00:00:00,48.041666666666664,16.083333333333332,,OFF
U,POTA-AT,283 Lower Austrian state circular hiking trail Nati...,09/04/2025,00:00:00,48.291666666666664,15.083333333333334,,OFF
U,POTA-AT,284 Burgenland hiking trail National Recreation Trail,09/04/2025,00:00:00,47.5,16.333333333333332,,OFF
U,POTA-AT,286 Jubilaeumswarte Eisenstadt Scenic Site,09/04/2025,00:00:00,47.833333333333336,16.5,,OFF
U,POTA-AT,287 Pfefferbuechsel Historic Site,09/04/2025,00:00:00,47.916666666666664,16.416666666666668,,OFF
U,POTA-AT,288 Teichwiesen Protected Area,09/04/2025,00:00:00,47.708333333333336,16.416666666666668,,OFF
U,POTA-AT,289 Rohrbacher (Marzer) Kogel Protected Area,09/04/2025,00:00:00,47.708333333333336,16.416666666666668,,OFF
U,POTA-AT,291 Zentralalpenweg 02 National Scenic Trail,09/04/2025,00:00:00,47.25,14.75,,OFF
U,POTA-AT,296 Burgenlaendischer Mariazellerweg State Trail,09/04/2025,00:00:00,47.666666666666664,16.25,,OFF
U,POTA-AT,299 St. Mary’s Trail M05 State Trail,09/04/2025,00:00:00,47.708333333333336,16.333333333333332,,OFF
U,POTA-AT,300 Rosalia circular hiking State Trail,09/04/2025,00:00:00,47.708333333333336,16.25,,OFF
U,POTA-AT,301 Wiener Alpenbogen State Trail,09/04/2025,00:00:00,47.541666666666664,15.833333333333334,,OFF
U,POTA-AT,303 Fronwiesen und Johannesbach Natura 2000,09/04/2025,00:00:00,47.916666666666664,16.416666666666668,,OFF
U,POTA-AT,305 Sonnenbergwarte Scenic Site,09/04/2025,00:00:00,47.875,16.416666666666668,,OFF
U,POTA-AT,307 Erlebnisarena Neufeld Recreation Site,09/04/2025,00:00:00,47.833333333333336,16.333333333333332,,OFF
U,POTA-AT,"311 Landschaftsschutzgebiet Bernstein, Lockenhaus, ...",09/04/2025,00:00:00,47.375,16.333333333333332,,OFF
U,POTA-AT,312 Galgenberg Rechnitz Protected Area,09/04/2025,00:00:00,47.291666666666664,16.416666666666668,,OFF
U,POTA-AT,313 Waldteich Deutschkreutz Protected Area,09/04/2025,00:00:00,47.541666666666664,16.583333333333332,,OFF
U,POTA-AT,347 Siegendorf Auffangbecken Nodbach Protected Area,09/04/2025,00:00:00,47.75,16.5,,OFF
U,POTA-AT,16 Dobratsch Nature Reserve,09/04/2025,00:00:00,46.583333333333336,13.666666666666666,,OFF
U,POTA-AT,37 Weissensee Nature Reserve,09/04/2025,00:00:00,46.666666666666664,13.333333333333334,,OFF
U,POTA-AT,39 Hohe Tauern National Park,09/04/2025,00:00:00,47.041666666666664,12.666666666666666,,OFF
U,POTA-AT,91 Goertschacher Moos - Obermoos im Gailtal Natura...,09/04/2025,00:00:00,46.583333333333336,13.416666666666666,,OFF
U,POTA-AT,92 Auenmoos Protected Landscape Area,09/04/2025,00:00:00,47.0,14.083333333333334,,OFF
U,POTA-AT,93 Bretterich National Reserve,09/04/2025,00:00:00,46.916666666666664,13.0,,OFF
U,POTA-AT,94 Drobollacher Moor National Reserve,09/04/2025,00:00:00,46.541666666666664,13.833333333333334,,OFF
U,POTA-AT,95 Egelsee National Reserve,09/04/2025,00:00:00,46.75,13.5,,OFF
U,POTA-AT,96 Kirchbachgraben Natura 2000,09/04/2025,00:00:00,46.625,13.166666666666666,,OFF
U,POTA-AT,97 Gurina Landscape Reserve,09/04/2025,00:00:00,46.666666666666664,13.083333333333334,,OFF
U,POTA-AT,98 Finkensteiner Moor National Reserve,09/04/2025,00:00:00,46.541666666666664,13.833333333333334,,OFF
U,POTA-AT,99 Flachwasserbiotop Neudenstein National Reserve,09/04/2025,00:00:00,46.625,14.583333333333334,,OFF
U,POTA-AT,100 Flachwasserbiotop Foederlach National Reserve,09/04/2025,00:00:00,46.583333333333336,13.916666666666666,,OFF
U,POTA-AT,101 Flattnitzbach-Hochmoor National Reserve,09/04/2025,00:00:00,46.958333333333336,14.0,,OFF
U,POTA-AT,102 Goesselsdorfer See Sued National Reserve,09/04/2025,00:00:00,46.541666666666664,14.583333333333334,,OFF
U,POTA-AT,103 Vogelschutzgebiet Grossedlinger Teich National ...,09/04/2025,00:00:00,46.791666666666664,14.833333333333334,,OFF
U,POTA-AT,104 Gruensee National Reserve,09/04/2025,00:00:00,46.583333333333336,13.833333333333334,,OFF
U,POTA-AT,105 Guntschacher Au National Reserve,09/04/2025,00:00:00,46.541666666666664,14.333333333333334,,OFF
U,POTA-AT,106 Gurkursprung National Reserve,09/04/2025,00:00:00,46.875,13.916666666666666,,OFF
U,POTA-AT,107 Hallegger Teiche National Reserve,09/04/2025,00:00:00,46.625,14.166666666666666,,OFF
U,POTA-AT,108 Hoeflein-Moor National Reserve,09/04/2025,00:00:00,46.541666666666664,14.333333333333334,,OFF
U,POTA-AT,109 Hoerfeld National Reserve,09/04/2025,00:00:00,47.0,14.5,,OFF
U,POTA-AT,110 Innere Wimitz National Reserve,09/04/2025,00:00:00,46.791666666666664,14.166666666666666,,OFF
U,POTA-AT,111 Inneres Bodental und Vertatscha National Reserve,09/04/2025,00:00:00,46.416666666666664,14.166666666666666,,OFF
U,POTA-AT,112 Schuett - Graschelitzen Natura 2000,09/04/2025,00:00:00,46.541666666666664,13.666666666666666,,OFF
U,POTA-AT,113 Ossiacher Tauern Natura 2000,09/04/2025,00:00:00,46.625,14.0,,OFF
U,POTA-AT,114 Tiffen Natura 2000,09/04/2025,00:00:00,46.666666666666664,14.0,,OFF
U,POTA-AT,115 Vellacher Kotschna Nature Reserve,09/04/2025,00:00:00,46.375,14.5,,OFF
U,POTA-AT,116 Troegerner Klamm Natura 2000,09/04/2025,00:00:00,46.416666666666664,14.5,,OFF
U,POTA-AT,117 Kleinobir Natura 2000,09/04/2025,00:00:00,46.5,14.416666666666666,,OFF
U,POTA-AT,118 Inneres Poellatal National Nature Reserve,09/04/2025,00:00:00,47.041666666666664,13.416666666666666,,OFF
U,POTA-AT,119 Aeusseres Poellatal Landscape Reserve,09/04/2025,00:00:00,47.041666666666664,13.5,,OFF
U,POTA-AT,120 Jammernspitz National Park,09/04/2025,00:00:00,46.666666666666664,13.916666666666666,,OFF
U,POTA-AT,121 Bodensdorf National Park,09/04/2025,00:00:00,46.666666666666664,13.916666666666666,,OFF
U,POTA-AT,122 Tiebelmuendung National Reserve,09/04/2025,00:00:00,46.666666666666664,14.0,,OFF
U,POTA-AT,123 Bleistaetter Moor Natura 2000,09/04/2025,00:00:00,46.666666666666664,14.0,,OFF
U,POTA-AT,124 Ossiacher Tauern Natura 2000,09/04/2025,00:00:00,46.666666666666664,14.0,,OFF
U,POTA-AT,125 Kronhofgraben Natura 2000,09/04/2025,00:00:00,46.583333333333336,13.0,,OFF
U,POTA-AT,126 Ruine Landskron Landscape Reserve,09/04/2025,00:00:00,46.625,13.833333333333334,,OFF
U,POTA-AT,127 Ossiacher See - West Landscape Reserve,09/04/2025,00:00:00,46.625,13.833333333333334,,OFF
U,POTA-AT,128 Ossiacher See -  Westbucht National Reserve,09/04/2025,00:00:00,46.625,13.833333333333334,,OFF
U,POTA-AT,129 Moore am Ossiacher Tauern Natura 2000,09/04/2025,00:00:00,46.625,14.0,,OFF
U,POTA-AT,131 Kleinfragant National Reserve,09/04/2025,00:00:00,46.958333333333336,13.0,,OFF
U,POTA-AT,132 Wurten National Reserve,09/04/2025,00:00:00,47.0,13.0,,OFF
U,POTA-AT,133 Meerspitz am Ossiacher See National Reserve,09/04/2025,00:00:00,46.666666666666664,13.916666666666666,,OFF
U,POTA-AT,134 Mussen National Reserve,09/04/2025,00:00:00,46.708333333333336,12.916666666666666,,OFF
U,POTA-AT,135 Sablatnigmoor bei Eberndorf National Reserve,09/04/2025,00:00:00,46.541666666666664,14.583333333333334,,OFF
U,POTA-AT,136 Spintik-Teiche National Reserve,09/04/2025,00:00:00,46.583333333333336,14.166666666666666,,OFF
U,POTA-AT,137 Nockberge Natura 2000,09/04/2025,00:00:00,46.875,13.75,,OFF
U,POTA-AT,138 Tuerkenmoos National Reserve,09/04/2025,00:00:00,46.875,14.083333333333334,,OFF
U,POTA-AT,139 Stappitzer See National Reserve,09/04/2025,00:00:00,47.0,13.166666666666666,,OFF
U,POTA-AT,140 Vogelschutzgebiet Voelkermarkter Stausee Nation...,09/04/2025,00:00:00,46.625,14.5,,OFF
U,POTA-AT,141 Wolayersee und Umgebung National Reserve,09/04/2025,00:00:00,46.583333333333336,12.833333333333334,,OFF
U,POTA-AT,142 Grosser und Kleiner Bodensee Natural Monument,09/04/2025,00:00:00,46.583333333333336,13.25,,OFF
U,POTA-AT,143 Grossedlinger Teich Natura 2000,09/04/2025,00:00:00,46.791666666666664,14.833333333333334,,OFF
U,POTA-AT,144 Obere Drau Natura 2000,09/04/2025,00:00:00,46.75,13.166666666666666,,OFF
U,POTA-AT,145 Hochmoor bei St. Lorenzen Natura 2000,09/04/2025,00:00:00,46.833333333333336,13.916666666666666,,OFF
U,POTA-AT,147 Gail im Lesachtal Natura 2000,09/04/2025,00:00:00,46.666666666666664,12.916666666666666,,OFF
U,POTA-AT,148 Gut Walterskirchen Natura 2000,09/04/2025,00:00:00,46.583333333333336,14.166666666666666,,OFF
U,POTA-AT,149 Ratschitschacher Moor Natura 2000,09/04/2025,00:00:00,46.625,14.666666666666666,,OFF
U,POTA-AT,150 Moeserner Moor Natura 2000,09/04/2025,00:00:00,46.666666666666664,13.25,,OFF
U,POTA-AT,151 Untere Lavant Natura 2000,09/04/2025,00:00:00,46.666666666666664,14.833333333333334,,OFF
U,POTA-AT,155 Pressegger See Landscape Reserve,09/04/2025,00:00:00,46.583333333333336,13.416666666666666,,OFF
U,POTA-AT,156 Turnersee Natura 2000,09/04/2025,00:00:00,46.541666666666664,14.5,,OFF
U,POTA-AT,157 Reifnitzbach Natura 2000,09/04/2025,00:00:00,46.583333333333336,14.166666666666666,,OFF
U,POTA-AT,158 Fronwiesen Natura 2000,09/04/2025,00:00:00,46.5,14.083333333333334,,OFF
U,POTA-AT,159 Kalk-Tuffquellen Voelkermarkter Stausee Natura ...,09/04/2025,00:00:00,46.625,14.666666666666666,,OFF
U,POTA-AT,160 Lendspitz-Maiernigg Natura 2000,09/04/2025,00:00:00,46.583333333333336,14.25,,OFF
U,POTA-AT,170 Mannsberg-Boden Natura 2000,09/04/2025,00:00:00,46.791666666666664,14.5,,OFF
U,POTA-AT,171 Hainsche Moor Natura 2000,09/04/2025,00:00:00,46.541666666666664,14.166666666666666,,OFF
U,POTA-AT,172 Mittagskogel - Karawanken Westteil Natura 2000,09/04/2025,00:00:00,46.5,13.916666666666666,,OFF
U,POTA-AT,173 Europapark Klagenfurt Park,09/04/2025,00:00:00,46.583333333333336,14.25,,OFF
U,POTA-AT,291 Zentralalpenweg 02 National Scenic Trail,09/04/2025,00:00:00,47.25,14.75,,OFF
U,POTA-AT,5 Lainzer Tiergarten Park,09/04/2025,00:00:00,48.166666666666664,16.166666666666668,,OFF
U,POTA-AT,6 Giesshuebel Recreation Park,09/04/2025,00:00:00,48.083333333333336,16.166666666666668,,OFF
U,POTA-AT,7 Schlosspark Laxenburg Recreation Park,09/04/2025,00:00:00,48.041666666666664,16.333333333333332,,OFF
U,POTA-AT,10 Blockheide-Gmund Nature Reserve,09/04/2025,00:00:00,48.75,14.916666666666666,,OFF
U,POTA-AT,14 Buchenberg Nature Reserve,09/04/2025,00:00:00,47.916666666666664,14.75,,OFF
U,POTA-AT,15 Dobersberg Nature Reserve,09/04/2025,00:00:00,48.875,15.25,,OFF
U,POTA-AT,17 Eichenhain Nature Reserve,09/04/2025,00:00:00,48.291666666666664,16.166666666666668,,OFF
U,POTA-AT,18 Eisenwurzen Nature Reserve,09/04/2025,00:00:00,47.708333333333336,14.75,,OFF
U,POTA-AT,19 Falkenstein Nature Reserve,09/04/2025,00:00:00,47.791666666666664,15.666666666666666,,OFF
U,POTA-AT,20 Fohrenberge Nature Reserve,09/04/2025,00:00:00,48.041666666666664,16.166666666666668,,OFF
U,POTA-AT,21 Geras Nature Reserve,09/04/2025,00:00:00,48.791666666666664,15.583333333333334,,OFF
