Group,Group Name,Name,Date,Time,Latitude,Longitude,Altitude,Alarm
Y,SOTA-SK,Babina,09/04/2025,00:00:00,48.8302,20.4627,,OFF
Y,SOTA-SK,Bachuren,09/04/2025,00:00:00,49.0905,20.9228,,OFF
Y,SOTA-SK,Banikov,09/04/2025,00:00:00,49.1981,19.7098,,OFF
Y,SOTA-SK,Baranec,09/04/2025,00:00:00,49.1734,19.741,,OFF
Y,SOTA-SK,Barvienok,09/04/2025,00:00:00,49.3068,21.1671,,OFF
Y,SOTA-SK,Baske,09/04/2025,00:00:00,48.8801,18.2579,,OFF
Y,SOTA-SK,Bana,09/04/2025,00:00:00,49.2149,21.5949,,OFF
Y,SOTA-SK,Benuska,09/04/2025,00:00:00,48.8803,19.7328,,OFF
Y,SOTA-SK,Boboty,09/04/2025,00:00:00,49.244,19.0602,,OFF
Y,SOTA-SK,Bodon,09/04/2025,00:00:00,48.9402,21.4073,,OFF
Y,SOTA-SK,Bogota,09/04/2025,00:00:00,48.7011,21.5165,,OFF
Y,SOTA-SK,Borisov,09/04/2025,00:00:00,48.9413,19.0892,,OFF
Y,SOTA-SK,Borsuk,09/04/2025,00:00:00,49.0977,22.2575,,OFF
Y,SOTA-SK,Brada,09/04/2025,00:00:00,49.0217,20.0162,,OFF
Y,SOTA-SK,Bradavica,09/04/2025,00:00:00,49.1713,20.1558,,OFF
Y,SOTA-SK,Bradlo,09/04/2025,00:00:00,48.6143,21.4303,,OFF
Y,SOTA-SK,Bradlo,09/04/2025,00:00:00,48.6814,17.5681,,OFF
Y,SOTA-SK,Brankov,09/04/2025,00:00:00,49.0051,19.3094,,OFF
Y,SOTA-SK,Brevenovo,09/04/2025,00:00:00,48.583,20.1194,,OFF
Y,SOTA-SK,Brodnianka,09/04/2025,00:00:00,49.2653,18.7678,,OFF
Y,SOTA-SK,Brusy,09/04/2025,00:00:00,49.2995,21.8622,,OFF
Y,SOTA-SK,Bucina,09/04/2025,00:00:00,48.6531,20.4112,,OFF
Y,SOTA-SK,Budin,09/04/2025,00:00:00,49.3441,19.4522,,OFF
Y,SOTA-SK,Bukovec,09/04/2025,00:00:00,48.8472,20.7215,,OFF
Y,SOTA-SK,Bukovina,09/04/2025,00:00:00,48.6746,19.4166,,OFF
Y,SOTA-SK,Burdov,09/04/2025,00:00:00,47.8327,18.7808,,OFF
Y,SOTA-SK,Busov,09/04/2025,00:00:00,49.3883,21.1625,,OFF
Y,SOTA-SK,Butko,09/04/2025,00:00:00,49.0225,18.3317,,OFF
Y,SOTA-SK,Bykarka,09/04/2025,00:00:00,48.9133,20.4004,,OFF
Y,SOTA-SK,Bystra,09/04/2025,00:00:00,49.1885,19.8425,,OFF
Y,SOTA-SK,Capkovo,09/04/2025,00:00:00,49.0131,19.7468,,OFF
Y,SOTA-SK,Certov kopec,09/04/2025,00:00:00,48.381,17.2113,,OFF
Y,SOTA-SK,Chabova,09/04/2025,00:00:00,48.9697,17.9319,,OFF
Y,SOTA-SK,Chlieviska,09/04/2025,00:00:00,48.9579,18.7608,,OFF
Y,SOTA-SK,Chlm,09/04/2025,00:00:00,48.4035,18.6829,,OFF
Y,SOTA-SK,Chmelova,09/04/2025,00:00:00,49.0744,18.1538,,OFF
Y,SOTA-SK,Chopok,09/04/2025,00:00:00,48.943,19.593,,OFF
Y,SOTA-SK,Cierna skala,09/04/2025,00:00:00,48.4994,17.3421,,OFF
Y,SOTA-SK,Cierny vrch,09/04/2025,00:00:00,48.8151,18.4085,,OFF
Y,SOTA-SK,Cierny vrch,09/04/2025,00:00:00,48.96,18.3965,,OFF
Y,SOTA-SK,Devinska Kobyla,09/04/2025,00:00:00,48.1894,16.9955,,OFF
Y,SOTA-SK,Dielik,09/04/2025,00:00:00,48.7354,19.8344,,OFF
Y,SOTA-SK,Drahova,09/04/2025,00:00:00,48.6188,19.7008,,OFF
Y,SOTA-SK,Drienovy vrch,09/04/2025,00:00:00,48.6863,18.4749,,OFF
Y,SOTA-SK,Driencie,09/04/2025,00:00:00,48.4755,18.6718,,OFF
Y,SOTA-SK,Drien,09/04/2025,00:00:00,48.5076,19.2325,,OFF
Y,SOTA-SK,Drienok,09/04/2025,00:00:00,48.8904,18.9617,,OFF
Y,SOTA-SK,Dubova,09/04/2025,00:00:00,49.2494,18.2638,,OFF
Y,SOTA-SK,Dubova,09/04/2025,00:00:00,49.1029,18.6152,,OFF
Y,SOTA-SK,Dun,09/04/2025,00:00:00,48.4111,18.2223,,OFF
Y,SOTA-SK,Duznik,09/04/2025,00:00:00,48.8993,17.8508,,OFF
Y,SOTA-SK,Fabova hola,09/04/2025,00:00:00,48.7725,19.8855,,OFF
Y,SOTA-SK,Fisiarka,09/04/2025,00:00:00,48.9246,19.7814,,OFF
Y,SOTA-SK,Flochova,09/04/2025,00:00:00,48.8088,18.9719,,OFF
Y,SOTA-SK,Folkmarska skala,09/04/2025,00:00:00,48.8291,21.0112,,OFF
Y,SOTA-SK,Geldek,09/04/2025,00:00:00,48.4325,17.3118,,OFF
Y,SOTA-SK,Gerlachovsky stit,09/04/2025,00:00:00,49.1641,20.134,,OFF
Y,SOTA-SK,Gindura,09/04/2025,00:00:00,48.8357,20.0288,,OFF
Y,SOTA-SK,Grun,09/04/2025,00:00:00,48.8284,20.1352,,OFF
Y,SOTA-SK,Hajdosik,09/04/2025,00:00:00,49.0698,22.341,,OFF
Y,SOTA-SK,Hajnicka hora,09/04/2025,00:00:00,48.6742,18.7477,,OFF
Y,SOTA-SK,Havran,09/04/2025,00:00:00,49.2485,20.1977,,OFF
Y,SOTA-SK,Havrania skala,09/04/2025,00:00:00,49.1417,18.5503,,OFF
Y,SOTA-SK,Halagos,09/04/2025,00:00:00,49.1019,21.3782,,OFF
Y,SOTA-SK,Hlacovo,09/04/2025,00:00:00,48.9999,19.4909,,OFF
