Group,Group Name,Name,Date,Time,Latitude,Longitude,Altitude,Alarm
X,SOTA-AT,Absandberg,09/04/2025,00:00:00,47.755,15.9592,,OFF
X,SOTA-AT,Acherkogel,09/04/2025,00:00:00,47.1892,10.9567,,OFF
X,SOTA-AT,Achhorn,09/04/2025,00:00:00,47.6531,12.7586,,OFF
X,SOTA-AT,Achleitner Kogel,09/04/2025,00:00:00,47.5328,12.2042,,OFF
X,SOTA-AT,Achnerkuchel,09/04/2025,00:00:00,47.4819,14.7592,,OFF
X,SOTA-AT,Achseljoch,09/04/2025,00:00:00,47.4258,10.7433,,OFF
X,SOTA-AT,Ackerlhoehe,09/04/2025,00:00:00,47.0456,14.1256,,OFF
X,SOTA-AT,Ackerlspitze,09/04/2025,00:00:00,47.5592,12.3469,,OFF
X,SOTA-AT,Aggenstein,09/04/2025,00:00:00,47.5369,10.5572,,OFF
X,SOTA-AT,Ahornspitze,09/04/2025,00:00:00,47.13,11.9178,,OFF
X,SOTA-AT,Ahrnspitz,09/04/2025,00:00:00,47.3476,13.9915,,OFF
X,SOTA-AT,Aibelhoehe,09/04/2025,00:00:00,47.4133,15.5821,,OFF
X,SOTA-AT,Aineck,09/04/2025,00:00:00,47.0556,13.6378,,OFF
X,SOTA-AT,Akogel,09/04/2025,00:00:00,47.6768,14.8053,,OFF
X,SOTA-AT,Alkuser Rotspitze,09/04/2025,00:00:00,46.9175,12.7317,,OFF
X,SOTA-AT,Almesbrunnberg,09/04/2025,00:00:00,47.9356,15.9206,,OFF
X,SOTA-AT,Almkogel,09/04/2025,00:00:00,47.6194,14.0931,,OFF
X,SOTA-AT,Almkogel,09/04/2025,00:00:00,47.8256,14.5647,,OFF
X,SOTA-AT,Almmauer,09/04/2025,00:00:00,47.6249,14.7167,,OFF
X,SOTA-AT,Alpenberg,09/04/2025,00:00:00,47.9225,13.6642,,OFF
X,SOTA-AT,Alpkopf,09/04/2025,00:00:00,47.4153,10.765,,OFF
X,SOTA-AT,Alpl,09/04/2025,00:00:00,47.8483,14.845,,OFF
X,SOTA-AT,Alpleskopf,09/04/2025,00:00:00,47.3167,10.7733,,OFF
X,SOTA-AT,Alplespleisspitze,09/04/2025,00:00:00,47.1967,10.3433,,OFF
X,SOTA-AT,Alplesspitze,09/04/2025,00:00:00,46.9578,12.2603,,OFF
X,SOTA-AT,Alpstein,09/04/2025,00:00:00,47.7942,14.4339,,OFF
X,SOTA-AT,Altenberg,09/04/2025,00:00:00,46.6824,13.6157,,OFF
X,SOTA-AT,Amachkogel,09/04/2025,00:00:00,47.3528,14.5381,,OFF
X,SOTA-AT,Ameisberg,09/04/2025,00:00:00,48.555,13.8322,,OFF
X,SOTA-AT,Ameiseggberg,09/04/2025,00:00:00,47.6212,13.2796,,OFF
X,SOTA-AT,Ameisnockenkopf,09/04/2025,00:00:00,47.5857,12.7856,,OFF
X,SOTA-AT,Ameringkogel,09/04/2025,00:00:00,47.0711,14.8083,,OFF
X,SOTA-AT,Anestberg,09/04/2025,00:00:00,47.9703,15.4914,,OFF
X,SOTA-AT,Angelmauer,09/04/2025,00:00:00,47.7342,14.1063,,OFF
X,SOTA-AT,Angerkogel,09/04/2025,00:00:00,47.6179,14.2283,,OFF
