Group,Group Name,Name,Date,Time,Latitude,Longitude,Altitude,Alarm
A,アイコム,本社ショールーム,11/1/2012,00:00:00,34.625983,135.569250,,OFF
A,アイコム,ならやま研究所,2/22/2024,00:00:00,34.709150,135.806167,71.3,OFF
B,♪フェスタ会場,東京ビッグサイト,11/1/2012,00:00:00,35.629783,139.794333,,OFF
B,♪フェスタ会場,有明GYM-EX,2/22/2024,00:00:00,35.642433,139.792783,1.3,OFF
B,♪フェスタ会場,名古屋市公会堂,2/22/2024,00:00:00,35.156683,136.919100,7.3,OFF
B,♪フェスタ会場,池田市民文化会館,2/10/2014,00:00:00,34.809350,135.441033,30.0,OFF
C,〓鉄道・道の駅,JR東京駅,11/1/2012,00:00:00,35.681400,139.766067,,OFF
C,〓鉄道・道の駅,JR品川駅,11/1/2012,00:00:00,35.628433,139.739983,,OFF
C,〓鉄道・道の駅,JR新大阪駅,11/1/2012,00:00:00,34.733533,135.500150,,OFF
C,〓鉄道・道の駅,JR博多駅,11/1/2012,00:00:00,33.589800,130.421167,,OFF
C,〓鉄道・道の駅,道の駅・箱根峠,11/1/2012,00:00:00,35.186750,139.015617,,OFF
C,〓鉄道・道の駅,道の駅・山北,11/1/2012,00:00:00,35.379867,139.031500,,OFF
D,▲富士山,富士山・剣ヶ峰,11/1/2012,00:00:00,35.360633,138.727367,,OFF
D,▲富士山,河口湖口五合目,11/1/2012,00:00:00,35.394200,138.732467,,OFF
D,▲富士山,富士宮口新五合目,11/1/2012,00:00:00,35.336983,138.733133,,OFF
D,▲富士山,須走口新五合目,11/1/2012,00:00:00,35.366567,138.778517,,OFF
D,▲富士山,御殿場口新五合目,11/1/2012,00:00:00,35.336067,138.794633,,OFF
D,▲富士山,富士吉田登山口,11/1/2012,00:00:00,35.472283,138.796000,,OFF
E,▲谷川岳,登山口・天神尾根,11/1/2012,00:00:00,36.818000,138.949467,,OFF
E,▲谷川岳,登山口・西黒尾根,11/1/2012,00:00:00,36.836717,138.960517,,OFF
E,▲谷川岳,登山口・厳剛新道,11/1/2012,00:00:00,36.840683,138.952250,,OFF
E,▲谷川岳,熊穴沢避難小屋,11/1/2012,00:00:00,36.822967,138.936083,,OFF
E,▲谷川岳,谷川岳,11/1/2012,00:00:00,36.837117,138.930133,,OFF
F,▲天城山,天城高原ゴルフ場,11/1/2012,00:00:00,34.872300,139.023600,,OFF
F,▲天城山,登山口・天城峠,11/1/2012,00:00:00,34.830900,138.934667,,OFF
F,▲天城山,登山口・池代,11/1/2012,00:00:00,34.755183,138.858933,,OFF
F,▲天城山,登山口・大沢温泉,11/1/2012,00:00:00,34.758650,138.833933,,OFF
F,▲天城山,登山口・宝蔵院,11/1/2012,00:00:00,34.788033,138.834383,,OFF
F,▲天城山,天城山・大室山,11/1/2012,00:00:00,34.902900,139.094600,,OFF
F,▲天城山,天城山・遠笠山,11/1/2012,00:00:00,34.878833,139.032500,,OFF
F,▲天城山,天城山・矢筈山,11/1/2012,00:00:00,34.894867,139.057267,,OFF
F,▲天城山,天城山・万三郎岳,11/1/2012,00:00:00,34.862800,139.001750,,OFF
F,▲天城山,天城山・猿山,11/1/2012,00:00:00,34.823067,138.883583,,OFF
F,▲天城山,十郎宗左衛門,11/1/2012,00:00:00,34.792767,138.878383,,OFF
F,▲天城山,天城山・長九郎山,11/1/2012,00:00:00,34.788333,138.868067,,OFF
F,▲天城山,天城山・万二郎岳,11/1/2012,00:00:00,34.860150,139.020850,,OFF
G,▲白山,登山口・別当出合,11/1/2012,00:00:00,36.125017,136.739850,,OFF
G,▲白山,登山口・市ノ瀬,11/1/2012,00:00:00,36.118650,136.704500,,OFF
G,▲白山,登山口・中宮温泉,11/1/2012,00:00:00,36.258433,136.764467,,OFF
G,▲白山,登山口・岩間元湯,11/1/2012,00:00:00,36.226067,136.761050,,OFF
G,▲白山,登山口新岩間温泉,11/1/2012,00:00:00,36.243233,136.750933,,OFF
G,▲白山,登山口南竜ヶ馬場,11/1/2012,00:00:00,36.135167,136.773417,,OFF
