Group No;Group Name;CH No;Name;SEL;Frequency;Dup;Offset;TS;Mode;SKIP;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign;Latitude;Longitude;Locator;Landmark
39;Oberösterreich;00;Lichtenberg;OFF;145,600000;DUP-;0,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE5XLL;;48.38515;14.25445;JN78DJ;Lichtenberg
39;Oberösterreich;01;Krippenstein;OFF;145,712500;DUP-;0,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE5XKL;;47.524287;13.69208;JN67UM;Obertraun
39;Oberösterreich;02;Gruenberg;OFF;145,750000;DUP-;0,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);123,0Hz;123,0Hz;23;BOTH N;;;;OE5XGL;;47.8981318;13.8219805;JN67VV;Schlagen
39;Oberösterreich;03;Geiersberg;OFF;145,775000;DUP-;0,600000;12,5kHz;FM;OFF;OFF;88,5Hz;123,0Hz;23;BOTH N;;;;OE5XUL;;48.20026;13.58142;JN68SE;Geiersberg
39;Oberösterreich;04;Feuerkogel;OFF;438,150000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);123,0Hz;123,0Hz;23;BOTH N;;;;OE5XFK;;47.81588;13.721327;JN67UT;Langwies
39;Oberösterreich;05;Senftenbach/Wolf;OFF;438,425000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);123,0Hz;123,0Hz;23;BOTH N;;;;OE5XDN;;48.27889;13.40661;JN68QG;Furth
39;Oberösterreich;06;Breitenstein;OFF;438,575000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);123,0Hz;123,0Hz;23;BOTH N;;;;OE5XOL;;48.4152993;14.27429015;JN78DJ;Kirchschlag
39;Oberösterreich;07;Lichtenberg;OFF;438,650000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE5XLL;;48.38515;14.25445;JN78DJ;Lichtenberg
39;Oberösterreich;08;Hunerkogel;OFF;438,725000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE5XDM;;47.46794155907106;13.626244068145754;JN67TL;Obertraun
39;Oberösterreich;09;Damberg;OFF;438,750000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE5XHO;;48.007363488562355;14.452160596847536;JN78FA;Unterwald
39;Oberösterreich;10;Linz Froschberg;OFF;438,775000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE5XBR;;48.28849;14.27855;JN78DG;Waldegg
39;Oberösterreich;11;Gruenberg;OFF;438,800000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);123,0Hz;123,0Hz;23;BOTH N;;;;OE5XGL;;47.8981318;13.8219805;JN67VV;Schlagen
39;Oberösterreich;12;Pfarrkirchen;OFF;438,950000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE5XDO;;48.502871999999996;13.825623;JN68VM;Pfarrkirchen
39;Oberösterreich;13;Sternstein;OFF;438,975000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);123,0Hz;123,0Hz;23;BOTH N;;;;OE5XIM;;48.5599155;14.2690062;JN78DN;Amesschlag
