Group,Group Name,Name,Date,Time,Latitude,Longitude,Altitude,Alarm
U,POTA-AT,5 Lainzer Tiergarten Park,09/04/2025,00:00:00,48.1845,16.2191,,OFF
U,POTA-AT,6 Giesshuebel Recreation Park,09/04/2025,00:00:00,48.1021,16.2236,,OFF
U,POTA-AT,7 Schlosspark Laxenburg Recreation Park,09/04/2025,00:00:00,48.0618,16.363,,OFF
U,POTA-AT,10 Blockheide-Gmund Nature Reserve,09/04/2025,00:00:00,48.7798,14.9958,,OFF
U,POTA-AT,14 Buchenberg Nature Reserve,09/04/2025,00:00:00,47.9467,14.776,,OFF
U,POTA-AT,15 Dobersberg Nature Reserve,09/04/2025,00:00:00,48.9067,15.3291,,OFF
U,POTA-AT,17 Eichenhain Nature Reserve,09/04/2025,00:00:00,48.2928,16.2398,,OFF
U,POTA-AT,18 Eisenwurzen Nature Reserve,09/04/2025,00:00:00,47.7482,14.7766,,OFF
U,POTA-AT,19 Falkenstein Nature Reserve,09/04/2025,00:00:00,47.8157,15.7065,,OFF
U,POTA-AT,20 Fohrenberge Nature Reserve,09/04/2025,00:00:00,48.0647,16.248,,OFF
U,POTA-AT,21 Geras Nature Reserve,09/04/2025,00:00:00,48.7997,15.6588,,OFF
U,POTA-AT,23 Heidenreichsteiner Moor Nature Reserve,09/04/2025,00:00:00,48.8528,15.1446,,OFF
U,POTA-AT,24 Hochmoor Schrems Nature Reserve,09/04/2025,00:00:00,48.7964,15.1001,,OFF
U,POTA-AT,25 Hohe Wand Nature Reserve,09/04/2025,00:00:00,47.8347,16.0471,,OFF
U,POTA-AT,26 Jauerling-Wachau Nature Reserve,09/04/2025,00:00:00,48.3077,15.3298,,OFF
U,POTA-AT,27 Kamptal-Schoenberg Nature Reserve,09/04/2025,00:00:00,48.5285,15.6857,,OFF
U,POTA-AT,31 Leiserberge Nature Reserve,09/04/2025,00:00:00,48.5589,16.3911,,OFF
U,POTA-AT,32 Mannersdorf-Wuste Nature Reserve,09/04/2025,00:00:00,47.9545,16.5999,,OFF
U,POTA-AT,36 Sparbach Nature Reserve,09/04/2025,00:00:00,48.0824,16.1861,,OFF
U,POTA-AT,41 Donau Auen National Park,09/04/2025,00:00:00,48.1348,16.6955,,OFF
U,POTA-AT,43 Thayatal National Park,09/04/2025,00:00:00,48.8419,15.8887,,OFF
U,POTA-AT,57 Untere Marchauen Nature Reserve,09/04/2025,00:00:00,48.3206,16.8862,,OFF
U,POTA-AT,58 Johannisbachklamm Nature Reserve,09/04/2025,00:00:00,47.7829,15.9716,,OFF
U,POTA-AT,59 Wachau Und Umgebung Nature Reserve,09/04/2025,00:00:00,48.3617,15.419,,OFF
U,POTA-AT,60 Donau-March-Thaya-Auen Nature Reserve,09/04/2025,00:00:00,48.1301,16.8,,OFF
U,POTA-AT,61 Ybbsfeld-Forstheide Nature Reserve,09/04/2025,00:00:00,48.082,14.7816,,OFF
U,POTA-AT,62 Gamsstein-Voralpe Nature Reserve,09/04/2025,00:00:00,47.7593,14.806,,OFF
U,POTA-AT,85 Leithagebirge Nature Reserve,09/04/2025,00:00:00,47.9655,16.6344,,OFF
U,POTA-AT,86 Groszpertholz Nature Reserve,09/04/2025,00:00:00,48.6274,14.819,,OFF
U,POTA-AT,87 Seebenstein Nature Reserve,09/04/2025,00:00:00,47.6877,16.1519,,OFF
U,POTA-AT,175 Akademiepark National Military Park,09/04/2025,00:00:00,47.8024,16.2492,,OFF
U,POTA-AT,176 Wienerwald Biosphere Reserve UNESCO Biosphe...,09/04/2025,00:00:00,48.1377,16.09,,OFF
U,POTA-AT,177 Pottendorfer Schlosspark Country Park,09/04/2025,00:00:00,47.9124,16.3822,,OFF
U,POTA-AT,178 Schlosspark - Kottingbrunn National Park,09/04/2025,00:00:00,47.948,16.2273,,OFF
U,POTA-AT,179 Remise Bird Sanctuary,09/04/2025,00:00:00,47.9692,16.2295,,OFF
U,POTA-AT,180 Naturpark Sierningtal-Flatzer Wand Nature R...,09/04/2025,00:00:00,47.7376,15.9777,,OFF
U,POTA-AT,181 Feuchte Ebene - Leithaauen (Natura 2000) Na...,09/04/2025,00:00:00,47.9017,16.4216,,OFF
U,POTA-AT,190 Donauinsel Park,09/04/2025,00:00:00,48.2512,16.3838,,OFF
U,POTA-AT,191 Naturpark Oetscher Nature Park,09/04/2025,00:00:00,47.8615,15.2026,,OFF
U,POTA-AT,192 Naturpark Purkersdorf Nature Park,09/04/2025,00:00:00,48.1995,16.1725,,OFF
U,POTA-AT,193 Capitularegarten Park,09/04/2025,00:00:00,47.965,16.2029,,OFF
U,POTA-AT,194 Kurpark Bad Voeslau Park,09/04/2025,00:00:00,47.9683,16.2056,,OFF
U,POTA-AT,195 Myrafaelle Park,09/04/2025,00:00:00,47.9137,15.9367,,OFF
U,POTA-AT,196 Naturschutzgebiet Sandberge Oberweiden Natu...,09/04/2025,00:00:00,48.2882,16.782,,OFF
U,POTA-AT,197 Weikendorfer Remise Nature Reserve,09/04/2025,00:00:00,48.301,16.7576,,OFF
U,POTA-AT,198 Tullnerfelder Donau-Auen Natura 2000,09/04/2025,00:00:00,48.35,16.0065,,OFF
U,POTA-AT,199 Steinfeld Natura 2000,09/04/2025,00:00:00,47.8987,16.3315,,OFF
U,POTA-AT,205 Stadtpark Neunkirchen Park,09/04/2025,00:00:00,47.7202,16.0733,,OFF
U,POTA-AT,206 Wasserpark Tulln Recreation Park,09/04/2025,00:00:00,48.3294,16.039,,OFF
U,POTA-AT,209 Stausee Ottenstein Recreation Park,09/04/2025,00:00:00,48.5928,15.3229,,OFF
U,POTA-AT,211 St. Poeltner Seen Recreation Park,09/04/2025,00:00:00,48.2246,15.6518,,OFF
