Group,Group Name,Name,Date,Time,Latitude,Longitude,Altitude,Alarm
U,POTA-AT,9 Waldhausen Klosterkirche Sanctuary,09/04/2025,00:00:00,48.2811,14.9535,,OFF
U,POTA-AT,12 Attersee-Traunsee Nature Reserve,09/04/2025,00:00:00,47.8794,13.6445,,OFF
U,POTA-AT,42 Kalkalpen National Park,09/04/2025,00:00:00,47.79,14.3736,,OFF
U,POTA-AT,45 Botanischer Garten Linz County Showground,09/04/2025,00:00:00,48.2967,14.2759,,OFF
U,POTA-AT,89 Urfahrwaend Nature Reserve,09/04/2025,00:00:00,48.3112,14.2541,,OFF
U,POTA-AT,90 Linzer Tiergarten Nature Reserve,09/04/2025,00:00:00,48.3104,14.2634,,OFF
U,POTA-AT,282 European long-distance hiking trail (E4) Na...,09/04/2025,00:00:00,48.0737,16.1617,,OFF
U,POTA-AT,318 Nordmoor am Grabensee Nature Conservation R...,09/04/2025,00:00:00,47.9984,13.104,,OFF
U,POTA-AT,319 Spiessmojer Nature Conservation Reserve,09/04/2025,00:00:00,48.0959,13.2938,,OFF
U,POTA-AT,320 Teile des Hehermooses und der Holzoestersee...,09/04/2025,00:00:00,48.0584,12.8995,,OFF
U,POTA-AT,321 Pfeiferanger Nature Conservation Reserve,09/04/2025,00:00:00,48.053,12.9619,,OFF
U,POTA-AT,322 Nordmoor am Mattsee Nature Conservation Res...,09/04/2025,00:00:00,47.9939,13.1512,,OFF
U,POTA-AT,323 Jackenmoos auf dem Muehlberg Nature Conserv...,09/04/2025,00:00:00,48.0786,12.9533,,OFF
U,POTA-AT,324 Feuchtgebiet Teichstaett Nature Conservatio...,09/04/2025,00:00:00,48.0327,13.2114,,OFF
U,POTA-AT,325 Ettenau Nature Conservation Reserve,09/04/2025,00:00:00,48.0741,12.7643,,OFF
U,POTA-AT,326 Ettenau II Nature Conservation Reserve,09/04/2025,00:00:00,48.0926,12.7568,,OFF
U,POTA-AT,327 Buchenwald Ranshofen Nature Conservation Re...,09/04/2025,00:00:00,48.2349,13.0248,,OFF
U,POTA-AT,338 Unterer Inn National Park,09/04/2025,00:00:00,48.3006,13.285,,OFF
U,POTA-AT,339 Seeleitensee (Innviertel) National Conserva...,09/04/2025,00:00:00,48.0589,12.9675,,OFF
U,POTA-AT,340 Imsee National Conservation Area,09/04/2025,00:00:00,48.0222,13.1362,,OFF
U,POTA-AT,342 Hoellerersee Nature Conservation Reserve,09/04/2025,00:00:00,48.0268,12.8901,,OFF
U,POTA-AT,343 Heratinger See National Conservation Area,09/04/2025,00:00:00,48.0708,12.952,,OFF
U,POTA-AT,344 Frankinger Moos National Conservation Area,09/04/2025,00:00:00,48.0508,12.9403,,OFF
