Group,Group Name,Name,Date,Time,Latitude,Longitude,Altitude,Alarm
V,POTA-SK,3 Slovensky raj National Park,09/04/2025,00:00:00,48.9,20.349,,OFF
V,POTA-SK,8 Slovensky kras National Park,09/04/2025,00:00:00,48.675,20.83,,OFF
V,POTA-SK,21 Latorica - Protected Landscape Area,09/04/2025,00:00:00,48.4979,21.9539,,OFF
V,POTA-SK,26 Vihorlat - Protected Landscape Area,09/04/2025,00:00:00,48.87,22.195,,OFF
V,POTA-SK,83 Andrassyovsky park - National Monument,09/04/2025,00:00:00,48.6197,21.721,,OFF
V,POTA-SK,84 Park Kastiel Semsa - National Monument,09/04/2025,00:00:00,48.6793,21.1128,,OFF
V,POTA-SK,85 Francuzsky park Markusovce - National Monument,09/04/2025,00:00:00,48.9162,20.6243,,OFF
V,POTA-SK,86 Park Kastiel Hodkovce - National Monument,09/04/2025,00:00:00,48.9898,20.782,,OFF
V,POTA-SK,87 Park Kupele Stos - National Monument,09/04/2025,00:00:00,48.7368,20.7876,,OFF
V,POTA-SK,88 Historicky park Budimir - National Monument,09/04/2025,00:00:00,48.7956,21.3068,,OFF
V,POTA-SK,89 Park Kastiel Betliar - National Monument,09/04/2025,00:00:00,48.7061,20.5102,,OFF
V,POTA-SK,244 Park Barczyovsky kastiel Barca National Mon...,09/04/2025,00:00:00,48.6782,21.2671,,OFF
V,POTA-SK,245 Park Kupele Herlany National Monument,09/04/2025,00:00:00,48.8016,21.477,,OFF
V,POTA-SK,247 Park Kastiel Nizna Kamenica National Monument,09/04/2025,00:00:00,48.7585,21.4787,,OFF
V,POTA-SK,248 Park Kastiel Velka Ida National Monument,09/04/2025,00:00:00,48.598,21.1654,,OFF
V,POTA-SK,249 Park Kastiel Zarnov National Monument,09/04/2025,00:00:00,48.5866,20.9205,,OFF
V,POTA-SK,250 Park mieru Michalovce National Monument,09/04/2025,00:00:00,48.7546,21.9213,,OFF
V,POTA-SK,251 Park Kuria Rakovec nad Ondavou National Mon...,09/04/2025,00:00:00,48.7781,21.7837,,OFF
V,POTA-SK,252 Park Pavlovce nad Uhom National Monument,09/04/2025,00:00:00,48.6117,22.0651,,OFF
V,POTA-SK,253 Park Vodny hrad Stitnik National Monument,09/04/2025,00:00:00,48.6569,20.3662,,OFF
V,POTA-SK,254 Park Krasnohorske Podhradie National Monument,09/04/2025,00:00:00,48.6456,20.6059,,OFF
V,POTA-SK,255 Park Kuria Jenkovce National Monument,09/04/2025,00:00:00,48.6544,22.2102,,OFF
V,POTA-SK,256 Park Kastiel Betlanovce National Monument,09/04/2025,00:00:00,48.9806,20.3914,,OFF
V,POTA-SK,257 Anglicky park Markusovce National Monument,09/04/2025,00:00:00,48.9166,20.6244,,OFF
V,POTA-SK,258 Park Kastiel Streda nad Bodrogom National M...,09/04/2025,00:00:00,48.3697,21.7531,,OFF
V,POTA-SK,259 Park Kastiel Pribenik National Monument,09/04/2025,00:00:00,48.3901,22.0073,,OFF
V,POTA-SK,260 Anglicky park Biel National Monument,09/04/2025,00:00:00,48.4039,22.0585,,OFF
V,POTA-SK,261 Mestsky park Kosice National Monument,09/04/2025,00:00:00,48.7242,21.2642,,OFF
