Group,Group Name,Name,Date,Time,Latitude,Longitude,Altitude,Alarm
V,POTA-SK,1 Tatra National Park,09/04/2025,00:00:00,49.1805,19.995,,OFF
V,POTA-SK,3 Slovensky raj National Park,09/04/2025,00:00:00,48.9,20.349,,OFF
V,POTA-SK,4 Pieniny National Park,09/04/2025,00:00:00,49.38,20.495,,OFF
V,POTA-SK,9 Poloniny National Park,09/04/2025,00:00:00,49.056,22.266,,OFF
V,POTA-SK,26 Vihorlat - Protected Landscape Area,09/04/2025,00:00:00,48.87,22.195,,OFF
V,POTA-SK,27 Vychodne Karpaty - Protected Landscape Area,09/04/2025,00:00:00,49.3267,21.938,,OFF
V,POTA-SK,92 Park Kastiel Spissky Hrhov - National Monument,09/04/2025,00:00:00,48.9998,20.6428,,OFF
V,POTA-SK,93 Historicky park Snina - National Monument,09/04/2025,00:00:00,48.985,22.1467,,OFF
V,POTA-SK,94 Park Mieru Humenne - National Monument,09/04/2025,00:00:00,48.9391,21.9096,,OFF
V,POTA-SK,95 Park Kastiel Bijacovce - National Monument,09/04/2025,00:00:00,49.0212,20.7929,,OFF
V,POTA-SK,96 Park Kastiel Fricovce - National Monument,09/04/2025,00:00:00,49.0168,20.974,,OFF
V,POTA-SK,97 Park Kastiel Strazky - National Monument,09/04/2025,00:00:00,49.172,20.4538,,OFF
V,POTA-SK,98 Park Kastiel Stakcin - National Monument,09/04/2025,00:00:00,49.0011,22.2308,,OFF
V,POTA-SK,222 Park Kastiel Kamenica nad Cirochou - Nation...,09/04/2025,00:00:00,48.9349,22.0017,,OFF
V,POTA-SK,223 Park Kastiel Batizovce - National Monument,09/04/2025,00:00:00,49.0751,20.1861,,OFF
V,POTA-SK,224 Park Kastiel Lucivna - National Monument,09/04/2025,00:00:00,49.0515,20.1403,,OFF
V,POTA-SK,225 Park Kastiel Demjata - National Monument,09/04/2025,00:00:00,49.1056,21.3102,,OFF
V,POTA-SK,226 Park Kastiel Hermanovce - National Monument,09/04/2025,00:00:00,49.0451,21.0187,,OFF
V,POTA-SK,228 Panska zahrada Nizna Sebastova - National M...,09/04/2025,00:00:00,49.0186,21.2799,,OFF
V,POTA-SK,229 Park Kastiel Petrovany - National Monument,09/04/2025,00:00:00,48.9178,21.2591,,OFF
V,POTA-SK,230 Park Kuria Zupcany - National Monument,09/04/2025,00:00:00,49.0144,21.1551,,OFF
V,POTA-SK,231 Park Kastiel Lubovec - National Monument,09/04/2025,00:00:00,48.9026,21.1864,,OFF
V,POTA-SK,232 Park Kastiel Sarisske Bohdanovce National M...,09/04/2025,00:00:00,48.8512,21.3159,,OFF
V,POTA-SK,233 Park Kastiel Lubotice National Monument,09/04/2025,00:00:00,49.0103,21.2739,,OFF
V,POTA-SK,234 Park Kastiel Krivany - National Monument,09/04/2025,00:00:00,49.17,20.9148,,OFF
V,POTA-SK,235 Park Kastiel Sarisske Michalany - National ...,09/04/2025,00:00:00,49.0686,21.1324,,OFF
V,POTA-SK,236 Park Kastiel Sarisske Dravce - National Mon...,09/04/2025,00:00:00,49.1759,20.8599,,OFF
V,POTA-SK,238 Park Kastiel Raznany National Monument,09/04/2025,00:00:00,49.0804,21.0837,,OFF
V,POTA-SK,239 Mariassyho park Pecovska Nova Ves National ...,09/04/2025,00:00:00,49.121,21.0431,,OFF
V,POTA-SK,240 Park Kastiel Zelmanovce National Monument,09/04/2025,00:00:00,49.1201,21.4263,,OFF
V,POTA-SK,241 Park Kastiel Hanusovce nad Toplou National ...,09/04/2025,00:00:00,49.0263,21.4984,,OFF
V,POTA-SK,242 Park Malonayayovcov Nizny Hrabovec National...,09/04/2025,00:00:00,48.8529,21.7518,,OFF
V,POTA-SK,243 Park Kastiel Chminianska Nova Ves National ...,09/04/2025,00:00:00,49.0025,21.0791,,OFF
