Group,Group Name,Name,Date,Time,Latitude,Longitude,Altitude,Alarm
V,POTA-SK,15 Male Karpaty - Protected Landscape Area,09/04/2025,00:00:00,48.433,17.322,,OFF
V,POTA-SK,16 Biele Karpaty - Protected Landscape Area,09/04/2025,00:00:00,48.94,17.92,,OFF
V,POTA-SK,23 Ponitrie - Protected Landscape Area,09/04/2025,00:00:00,48.495,18.265,,OFF
V,POTA-SK,24 Strazovske vrchy - Protected Landscape Area,09/04/2025,00:00:00,48.961,18.4624,,OFF
V,POTA-SK,99 Park Kastiel Lednicke Rovne - National Monument,09/04/2025,00:00:00,49.067,18.2871,,OFF
V,POTA-SK,100 Historicky park Pruske - National Monument,09/04/2025,00:00:00,49.0284,18.2094,,OFF
V,POTA-SK,101 Park Kupele Trencianske Teplice - National ...,09/04/2025,00:00:00,48.9084,18.1748,,OFF
V,POTA-SK,102 Park Jana Baltazara Magina - National Monument,09/04/2025,00:00:00,48.9623,18.1668,,OFF
V,POTA-SK,137 Park Kastiel Dvorec - National Monument,09/04/2025,00:00:00,48.7079,18.2227,,OFF
V,POTA-SK,138 Park Kastiel Uhrovec - National Monument,09/04/2025,00:00:00,48.7452,18.3347,,OFF
V,POTA-SK,139 Park Kastiel Sisov - National Monument,09/04/2025,00:00:00,48.6553,18.1839,,OFF
V,POTA-SK,140 Park Kastiel Bohunice - National Monument,09/04/2025,00:00:00,49.0201,18.1998,,OFF
V,POTA-SK,141 Park Kastiel Borcice - National Monument,09/04/2025,00:00:00,48.9777,18.1346,,OFF
V,POTA-SK,142 Park Kastiel Klobusice - National Monument,09/04/2025,00:00:00,48.9896,18.2211,,OFF
V,POTA-SK,143 Park Kastiel Ladce - National Monument,09/04/2025,00:00:00,49.0357,18.2832,,OFF
V,POTA-SK,144 Park Kastiel Brunovce - National Monument,09/04/2025,00:00:00,48.6717,17.8533,,OFF
V,POTA-SK,145 Park Kastiel Kocovce - National Monument,09/04/2025,00:00:00,48.7415,17.8884,,OFF
V,POTA-SK,146 Park Kastiel Luka - National Monument,09/04/2025,00:00:00,48.66,17.8806,,OFF
V,POTA-SK,147 Park Kastiel Castkovce - National Monument,09/04/2025,00:00:00,48.6874,17.7863,,OFF
V,POTA-SK,148 Park Kastiel Cachtice - National Monument,09/04/2025,00:00:00,48.715,17.7858,,OFF
V,POTA-SK,149 Park Kastiel Bosany - National Monument,09/04/2025,00:00:00,48.5814,18.2489,,OFF
V,POTA-SK,150 Park Vodny hrad Simonovany - National Monument,09/04/2025,00:00:00,48.6314,18.3907,,OFF
V,POTA-SK,151 Zamocky park Bojnice - National Monument,09/04/2025,00:00:00,48.7795,18.5783,,OFF
V,POTA-SK,152 Park Kastiel Dolny Lieskov - National Monument,09/04/2025,00:00:00,49.0535,18.4199,,OFF
V,POTA-SK,154 Park Kastiel Bystricany - National Monument,09/04/2025,00:00:00,48.6649,18.4832,,OFF
V,POTA-SK,156 Park Kastiel Zemianske Kostolany - National...,09/04/2025,00:00:00,48.6864,18.5245,,OFF
V,POTA-SK,157 Park Kastiel Horovce - National Monument,09/04/2025,00:00:00,49.0506,18.2599,,OFF
V,POTA-SK,158 Adamovskokochanovsky park - National Monument,09/04/2025,00:00:00,48.8511,17.9319,,OFF
V,POTA-SK,159 Zablatsky park - National Monument,09/04/2025,00:00:00,48.8964,17.999,,OFF
V,POTA-SK,160 Zemianskopodhradsky park - National Monument,09/04/2025,00:00:00,48.8391,17.8335,,OFF
