Group,Group Name,Name,Date,Time,Latitude,Longitude,Altitude,Alarm
V,POTA-SK,1 Tatra National Park,09/04/2025,00:00:00,49.1805,19.995,,OFF
V,POTA-SK,2 Nizke Tatry National Park,09/04/2025,00:00:00,48.94,19.515,,OFF
V,POTA-SK,5 Mala Fatra National Park,09/04/2025,00:00:00,49.187,19.043,,OFF
V,POTA-SK,6 Velka Fatra National Park,09/04/2025,00:00:00,48.938,19.083,,OFF
V,POTA-SK,19 Horna Orava - Protected Landscape Area,09/04/2025,00:00:00,49.435,19.38,,OFF
V,POTA-SK,20 Kysuce - Protected Landscape Area,09/04/2025,00:00:00,49.325,18.43,,OFF
V,POTA-SK,24 Strazovske vrchy - Protected Landscape Area,09/04/2025,00:00:00,48.961,18.4624,,OFF
V,POTA-SK,105 Park Kastiel Mosovce - National Monument,09/04/2025,00:00:00,48.91,18.8888,,OFF
V,POTA-SK,106 Lesopark Oscadnica - National Monument,09/04/2025,00:00:00,49.423,18.841,,OFF
V,POTA-SK,107 Budatinsky park - National Monument,09/04/2025,00:00:00,49.2364,18.7345,,OFF
V,POTA-SK,108 Park Kupele Turcianske Teplice - National M...,09/04/2025,00:00:00,48.8561,18.8601,,OFF
V,POTA-SK,178 Zamocky park Bytca - National Monument,09/04/2025,00:00:00,49.2207,18.5587,,OFF
V,POTA-SK,179 Abaffyovsky park - National Monument,09/04/2025,00:00:00,49.2356,19.3059,,OFF
V,POTA-SK,180 Park Kastiel Istebne - National Monument,09/04/2025,00:00:00,49.2117,19.2225,,OFF
V,POTA-SK,181 Lubyho luka - National Monument,09/04/2025,00:00:00,49.0458,19.7316,,OFF
V,POTA-SK,182 Park Kastiel Liptovsky Jan National Monument,09/04/2025,00:00:00,49.0483,19.6817,,OFF
V,POTA-SK,186 Park Kastiel Zaturcie - National Monument,09/04/2025,00:00:00,49.0884,18.9162,,OFF
V,POTA-SK,187 Park Kastiel Mitosiny - National Monument,09/04/2025,00:00:00,49.0999,19.4326,,OFF
V,POTA-SK,189 Kupelny park Korytnica - National Monument,09/04/2025,00:00:00,48.8887,19.2864,,OFF
V,POTA-SK,190 Kupelny park Lubochna - National Monument,09/04/2025,00:00:00,49.1179,19.1635,,OFF
V,POTA-SK,191 Park Kastiel Turcianske Teplice - National ...,09/04/2025,00:00:00,48.8821,18.8532,,OFF
V,POTA-SK,192 Park Kastiel Bytcica - National Monument,09/04/2025,00:00:00,49.1852,18.7302,,OFF
V,POTA-SK,193 Park Kastiel Krasnany - National Monument,09/04/2025,00:00:00,49.2119,18.8886,,OFF
V,POTA-SK,194 Zamocky park Kunerad - National Monument,09/04/2025,00:00:00,49.0845,18.7392,,OFF
