Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
32,AT-DSTAR,Hochkogel,Hochkoglberg,OE3XDA,OE3XDA G,145.575,DUP-,0.6,DV,OFF,88.5Hz,YES,Exact,48.034278,14.951167,+1:00
32,AT-DSTAR,Wien AKH,Alsergrund,OE1XDS,OE1XDS G,145.575,DUP-,0.6,DV,OFF,88.5Hz,YES,Exact,48.22075,16.34684,+1:00
32,AT-DSTAR,Dobl,Dobl,OE6XDF,OE6XDF G,145.6375,DUP-,0.6,DV,OFF,88.5Hz,YES,Exact,46.94991,15.37989,+1:00
32,AT-DSTAR,Hochstein,Patriasdorf,OE7XLI,OE7XLI G,145.725,DUP-,0.6,DV,OFF,88.5Hz,YES,Exact,46.82166,12.70025,+1:00
32,AT-DSTAR,Hoadl,Grinzens,OE7XIH,OE7XIH G,438.05,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,47.183272,11.281548,+1:00
32,AT-DSTAR,Rofan Roßkogel,Münster,OE7XXR,OE7XXR G,438.2,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,47.46738,11.82695,+1:00
32,AT-DSTAR,Vorderälpele,Tisis,OE9XVI,OE9XVI G,438.2,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,47.20918,9.591069,+1:00
32,AT-DSTAR,FH Wr Neustadt,Wiener Neustadt,OE3XVJ,OE3XVJ G,438.225,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,47.839,16.24825,+1:00
32,AT-DSTAR,Grünberg,Schlagen,OE5XGL,OE5XGL G,438.2625,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,47.8981318,13.8219805,+1:00
32,AT-DSTAR,Nebelstein,Hirschenwies,OE3XNR,OE3XNR G,438.325,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,48.672816,14.77828,+1:00
32,AT-DSTAR,Poschenhof,Wagrain,OE5XTP,OE5XTP G,438.35,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,48.02072354491044,13.643034696578981,+1:00
