callsign,name,band,freq_tx,freq_rx,ctcss_tx,ctcss_rx,c4fm,dmr,dmr_id,dmr_cc,dstar,dstar_rpt1,dstar_rpt2,fm,landmark,state,country,country_code,loc_exact,lat,long,locator,sea_level,skip,scan_group,source_id,source_name,source_provider,source_type,source_license,source_url,offset,dup,ctcss,simplex,split,multimode,name_formatted,distance,heading
,Ch01,pmr,446.00625,446.00625,,,False,False,,,False,,,True,,,,,False,,,,,False,,pmr,PMR Channels,,static,,,0.0,,False,True,False,False,,,
,Ch02,pmr,446.01875,446.01875,,,False,False,,,False,,,True,,,,,False,,,,,False,,pmr,PMR Channels,,static,,,0.0,,False,True,False,False,,,
,Ch03,pmr,446.03125,446.03125,,,False,False,,,False,,,True,,,,,False,,,,,False,,pmr,PMR Channels,,static,,,0.0,,False,True,False,False,,,
,Ch04,pmr,446.04375,446.04375,,,False,False,,,False,,,True,,,,,False,,,,,False,,pmr,PMR Channels,,static,,,0.0,,False,True,False,False,,,
,Ch05,pmr,446.05625,446.05625,,,False,False,,,False,,,True,,,,,False,,,,,False,,pmr,PMR Channels,,static,,,0.0,,False,True,False,False,,,
,Ch06,pmr,446.06875,446.06875,,,False,False,,,False,,,True,,,,,False,,,,,False,,pmr,PMR Channels,,static,,,0.0,,False,True,False,False,,,
,Ch07,pmr,446.08125,446.08125,,,False,False,,,False,,,True,,,,,False,,,,,False,,pmr,PMR Channels,,static,,,0.0,,False,True,False,False,,,
,Ch08,pmr,446.09375,446.09375,,,False,False,,,False,,,True,,,,,False,,,,,False,,pmr,PMR Channels,,static,,,0.0,,False,True,False,False,,,
,Ch09,pmr,446.10625,446.10625,,,False,False,,,False,,,True,,,,,False,,,,,False,,pmr,PMR Channels,,static,,,0.0,,False,True,False,False,,,
,Ch10,pmr,446.11875,446.11875,,,False,False,,,False,,,True,,,,,False,,,,,False,,pmr,PMR Channels,,static,,,0.0,,False,True,False,False,,,
,Ch11,pmr,446.13125,446.13125,,,False,False,,,False,,,True,,,,,False,,,,,False,,pmr,PMR Channels,,static,,,0.0,,False,True,False,False,,,
,Ch12,pmr,446.14375,446.14375,,,False,False,,,False,,,True,,,,,False,,,,,False,,pmr,PMR Channels,,static,,,0.0,,False,True,False,False,,,
,Ch13,pmr,446.15625,446.15625,,,False,False,,,False,,,True,,,,,False,,,,,False,,pmr,PMR Channels,,static,,,0.0,,False,True,False,False,,,
,Ch14,pmr,446.16875,446.16875,,,False,False,,,False,,,True,,,,,False,,,,,False,,pmr,PMR Channels,,static,,,0.0,,False,True,False,False,,,
,Ch15,pmr,446.18125,446.18125,,,False,False,,,False,,,True,,,,,False,,,,,False,,pmr,PMR Channels,,static,,,0.0,,False,True,False,False,,,
,Ch16,pmr,446.19375,446.19375,,,False,False,,,False,,,True,,,,,False,,,,,False,,pmr,PMR Channels,,static,,,0.0,,False,True,False,False,,,
