callsign,name,band,freq_tx,freq_rx,ctcss_tx,ctcss_rx,c4fm,dmr,dmr_id,dmr_cc,dstar,dstar_rpt1,dstar_rpt2,fm,landmark,state,country,country_code,loc_exact,lat,long,locator,sea_level,skip,scan_group,source_id,source_name,source_provider,source_type,source_license,source_url,offset,dup,ctcss,simplex,split,multimode,name_formatted,distance,heading
US-2913,Sesquicentennial State Park,gps,,,,,False,False,,,False,,,False,US-SC,US-SC,United States,US,True,34.0993,-80.9106,EM94nc,,False,,pota-parks,POTA Parks,Parks on the Air,dynamic,,https://pota.app/,0,,False,True,False,False,US-2913 Sesquicentennial State Park,,
AU-10434,Linville Railway Country Park,gps,,,,,False,False,,,False,,,False,AU-QLD,AU-QLD,Australia,AU,True,-26.8419,152.274,QG63dd,,False,,pota-parks,POTA Parks,Parks on the Air,dynamic,,https://pota.app/,0,,False,True,False,False,AU-10434 Linville Railway Country Park,,
JP-1579,Kasei Prefectural Park,gps,,,,,False,False,,,False,,,False,JP-WK,JP-WK,Japan,JP,True,34.2474,135.125,PM74nf,,False,,pota-parks,POTA Parks,Parks on the Air,dynamic,,https://pota.app/,0,,False,True,False,False,JP-1579 Kasei Prefectural Park,,
US-4575,Old Spanish National Historic Trail,gps,,,,,False,False,,,False,,,False,"US-AZ,US-CA,US-CO,US-NM,US-NV,US-UT",US-AZ,United States,US,True,38.6163,-109.62,DM58eo,,False,,pota-parks,POTA Parks,Parks on the Air,dynamic,,https://pota.app/,0,,False,True,False,False,US-4575 Old Spanish National Historic Trail,,
DE-0049,Zittauer Gebirge Nature Park,gps,,,,,False,False,,,False,,,False,DE-SN,DE-SN,Germany,DE,True,50.8504,14.7014,JO70iu,,False,,pota-parks,POTA Parks,Parks on the Air,dynamic,,https://pota.app/,0,,False,True,False,False,DE-0049 Zittauer Gebirge Nature Park,,
BY-0047,Жада Wetland Reserve,gps,,,,,False,False,,,False,,,False,BY-VI,BY-VI,Belarus,BY,True,55.4345,28.0148,KO45ak,,False,,pota-parks,POTA Parks,Parks on the Air,dynamic,,https://pota.app/,0,,False,True,False,False,BY-0047 Жада Wetland Reserve,,
JP-1618,Buttsuji Mitsugi Hachimangu Prefectural Nature Park,gps,,,,,False,False,,,False,,,False,JP-HS,JP-HS,Japan,JP,True,34.4653,133.02,PM64ml,,False,,pota-parks,POTA Parks,Parks on the Air,dynamic,,https://pota.app/,0,,False,True,False,False,JP-1618 Buttsuji Mitsugi Hachimangu Prefectural Nature Park,,
TH-0685,Phachi River Wildlife Sanctuary Wildlife Area,gps,,,,,False,False,,,False,,,False,TH-PE,TH-PE,Thailand,TH,True,13.3035,99.4207,NK93rh,,False,,pota-parks,POTA Parks,Parks on the Air,dynamic,,https://pota.app/,0,,False,True,False,False,TH-0685 Phachi River Wildlife Sanctuary Wildlife Area,,
CN-0741,新疆乌鲁木齐市植物园 Botanical Gardens,gps,,,,,False,False,,,False,,,False,CN-XJ,CN-XJ,China,CN,True,43.8908,87.5563,NN33sv,,False,,pota-parks,POTA Parks,Parks on the Air,dynamic,,https://pota.app/,0,,False,True,False,False,CN-0741 新疆乌鲁木齐市植物园 Botanical Gardens,,
JP-0014,Chichibu-Tama-Kai National Park,gps,,,,,False,False,,,False,,,False,"JP-NN,JP-ST,JP-TK,JP-YN",JP-NN,Japan,JP,True,35.8593,138.863,PM95ku,,False,,pota-parks,POTA Parks,Parks on the Air,dynamic,,https://pota.app/,0,,False,True,False,False,JP-0014 Chichibu-Tama-Kai National Park,,
JP-1472,Ise no Umi Prefectural Nature Park,gps,,,,,False,False,,,False,,,False,JP-ME,JP-ME,Japan,JP,True,34.7082,136.523,PM84gq,,False,,pota-parks,POTA Parks,Parks on the Air,dynamic,,https://pota.app/,0,,False,True,False,False,JP-1472 Ise no Umi Prefectural Nature Park,,
