callsign,name,band,freq_tx,freq_rx,ctcss_tx,ctcss_rx,c4fm,dmr,dmr_id,dmr_cc,dstar,dstar_rpt1,dstar_rpt2,fm,landmark,state,country,country_code,loc_exact,lat,long,locator,sea_level,skip,scan_group,source_id,source_name,source_provider,source_type,source_license,source_url,offset,dup,ctcss,simplex,split,multimode,name_formatted,distance,heading,attempts,activations,qsos,grid
AT-0008,Neusiedel Mole West State Harbor,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.9289,16.8348,JN87kw,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0008 Neusiedel Mole West State Harbor,,,2,2,76,JN87kw
AT-0022,Geschriebenstein-Irottko Nature Reserve,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.3529,16.433,JN87fi,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0022 Geschriebenstein-Irottko Nature Reserve,,,12,11,375,JN87fi
AT-0030,Landseer Berge Nature Reserve,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.6278,16.3503,JN87ep,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0030 Landseer Berge Nature Reserve,,,5,5,217,JN87ep
AT-0034,Neusiedler See Natura 2000 Nature Reserve,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.8576,16.7681,JN87ju,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0034 Neusiedler See Natura 2000 Nature Reserve,,,28,21,1241,JN87ju
AT-0040,Neusiedler See Seewinkel National Park,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.7707,16.7979,JN87js,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0040 Neusiedler See Seewinkel National Park,,,13,11,596,JN87js
AT-0056,Suedburgenlandisches Huegel- Und Terrassenland Nature Reserve,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.0885,16.4155,JN87ec,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0056 Suedburgenlandisches Huegel- Und Terrassenland Nature Reserve,,,4,4,302,JN87ec
AT-0181,Feuchte Ebene - Leithaauen (Natura 2000) Natura 2000,gps,,,,,False,False,,,False,,,False,"AT-BU,AT-NO",Burgenland,Austria,AT,True,47.9017,16.4216,JN87fv,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0181 Feuchte Ebene - Leithaauen (Natura 2000) Natura 2000,,,12,12,265,JN87fv
AT-0182,Schlosspark Eisenstadt Country Park,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.848,16.5166,JN87gu,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0182 Schlosspark Eisenstadt Country Park,,,3,3,149,JN87gu
AT-0183,Mattersburger Huegelland Natura 2000,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.7373,16.3607,JN87er,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0183 Mattersburger Huegelland Natura 2000,,,14,13,942,JN87er
AT-0184,Parndorfer Platte - Heideboden Natura 2000,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,48.007,16.9031,JN88ka,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0184 Parndorfer Platte - Heideboden Natura 2000,,,4,4,183,JN88ka
AT-0185,Naturpark Rosalia Kogelberg Nature Park,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.7166,16.4729,JN87fr,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0185 Naturpark Rosalia Kogelberg Nature Park,,,13,13,913,JN87fr
AT-0186,Lafnitztal Natura 2000,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.0265,16.1224,JN87ba,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0186 Lafnitztal Natura 2000,,,3,3,116,JN87ba
AT-0200,NATURPARK RAAB-OeRSEG-GORICKO Nature Park,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,46.9281,16.1182,JN86bw,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0200 NATURPARK RAAB-OeRSEG-GORICKO Nature Park,,,3,3,141,JN86bw
AT-0201,Naturpark in der Weinidylle Nature Park,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.0547,16.455,JN87fb,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0201 Naturpark in der Weinidylle Nature Park,,,2,2,74,JN87fb
AT-0202,Siegendorfer Puszta und Heide Nature Park,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.7723,16.5379,JN87gs,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0202 Siegendorfer Puszta und Heide Nature Park,,,4,4,208,JN87gs
AT-0207,Kurpark Bad Sauerbrunn Park,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.7751,16.3261,JN87ds,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0207 Kurpark Bad Sauerbrunn Park,,,4,3,190,JN87ds
AT-0208,Kurpark Bad Tatzmannsdorf Park,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.3352,16.2291,JN87ci,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0208 Kurpark Bad Tatzmannsdorf Park,,,3,3,82,JN87ci
AT-0210,Stotzinger Heide Protected Area,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.9078,16.5254,JN87gv,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0210 Stotzinger Heide Protected Area,,,3,3,280,JN87gv
AT-0214,Zylinderteich Protected Area,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.8879,16.4221,JN87fv,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0214 Zylinderteich Protected Area,,,4,4,107,JN87fv
AT-0215,Bubanj Protected Area,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.8895,16.4231,JN87fv,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0215 Bubanj Protected Area,,,5,5,165,JN87fv
AT-0220,Fronwiesen und Kuhlacke Protected Area,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.8384,16.5679,JN87gu,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0220 Fronwiesen und Kuhlacke Protected Area,,,2,2,109,JN87gu
AT-0221,Goldberg Protected Area,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.8404,16.6414,JN87hu,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0221 Goldberg Protected Area,,,3,3,117,JN87hu
AT-0222,Weisses Kreuz Protected Area,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.8462,16.4837,JN87fu,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0222 Weisses Kreuz Protected Area,,,3,3,124,JN87fu
AT-0223,Naturschutzgebiet Thenau Protected Area,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.9399,16.7132,JN87iw,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0223 Naturschutzgebiet Thenau Protected Area,,,3,3,267,JN87iw
AT-0224,Naturpark Neusiedler See - Leithagebirge Nature Reserve,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.9476,16.6888,JN87iw,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0224 Naturpark Neusiedler See - Leithagebirge Nature Reserve,,,6,6,347,JN87iw
AT-0227,Forchtenstein Castle Historic Site,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.7098,16.3317,JN87dr,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0227 Forchtenstein Castle Historic Site,,,11,11,491,JN87dr
AT-0228,Rosalienkapelle Historic Site,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.6976,16.3068,JN87dq,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0228 Rosalienkapelle Historic Site,,,12,11,462,JN87dq
AT-0230,Burgruine Hornstein Historic Site,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.8762,16.4543,JN87fv,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0230 Burgruine Hornstein Historic Site,,,5,5,221,JN87fv
AT-0231,Roemersteinbruch St.Margarethen Historic Site,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.803,16.6349,JN87ht,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0231 Roemersteinbruch St.Margarethen Historic Site,,,9,9,736,JN87ht
AT-0232,Seebad Rust Recreation Site,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.8012,16.6948,JN87it,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0232 Seebad Rust Recreation Site,,,4,4,209,JN87it
AT-0233,Tor zur Freiheit (Gate To Freedom) Historic Site,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.7572,16.6223,JN87hs,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0233 Tor zur Freiheit (Gate To Freedom) Historic Site,,,4,4,269,JN87hs
