Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
75,POTA-Parks,US-2913,Sesquicentennial,,,,,,GPS,,,,Exact,34.0993,-80.9106,-5:00
75,POTA-Parks,JP-1579,Kasei Prefectura,,,,,,GPS,,,,Exact,34.2474,135.125,+9:00
75,POTA-Parks,US-4575,Old Spanish Nati,,,,,,GPS,,,,Exact,38.6163,-109.62,-5:00
75,POTA-Parks,DE-0049,Zittauer Gebirge,,,,,,GPS,,,,Exact,50.8504,14.7014,+1:00
75,POTA-Parks,BY-0047,Жада Wetland Res,,,,,,GPS,,,,Exact,55.4345,28.0148,+1:00
75,POTA-Parks,JP-1618,Buttsuji Mitsugi,,,,,,GPS,,,,Exact,34.4653,133.02,+9:00
75,POTA-Parks,TH-0685,Phachi River Wil,,,,,,GPS,,,,Exact,13.3035,99.4207,+7:00
75,POTA-Parks,CN-0741,新疆乌鲁木齐市植物园 Botan,,,,,,GPS,,,,Exact,43.8908,87.5563,+8:00
75,POTA-Parks,AU-10434,Linville Railway,,,,,,GPS,,,,Exact,-26.8419,152.274,+10:00
75,POTA-Parks,JP-0014,Chichibu-Tama-Ka,,,,,,GPS,,,,Exact,35.8593,138.863,+9:00
75,POTA-Parks,JP-1472,Ise no Umi Prefe,,,,,,GPS,,,,Exact,34.7082,136.523,+9:00
