callsign,name,band,freq_tx,freq_rx,ctcss_tx,ctcss_rx,c4fm,dmr,dmr_id,dmr_cc,dstar,dstar_rpt1,dstar_rpt2,fm,landmark,state,country,country_code,loc_exact,lat,long,locator,sea_level,skip,scan_group,source_id,source_name,source_provider,source_type,source_license,source_url,offset,dup,ctcss,simplex,split,multimode,name_formatted,distance,heading
OE/NO-302,Absandberg,,,,,,False,False,,,False,,,False,,Niederösterreich,Austria,AUT,True,47.755,15.9592,JN77XS,896,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/NO-302,,
OE/TI-830,Acherkogel,,,,,,False,False,,,False,,,False,,Tirol,Austria,AUT,True,47.1892,10.9567,JN57LE,3007,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/TI-830,,
OE/SB-442,Achhorn,,,,,,False,False,,,False,,,False,,Salzburg,Austria,AUT,True,47.6531,12.7586,JN67JP,1316,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/SB-442,,
OE/TI-671,Achleitner Kogel,,,,,,False,False,,,False,,,False,,Tirol,Austria,AUT,True,47.5328,12.2042,JN67CM,1229,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/TI-671,,
OE/ST-350,Achnerkuchel,,,,,,False,False,,,False,,,False,,Steiermark,Austria,AUT,True,47.4819,14.7592,JN77JL,1824,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/ST-350,,
OE/TL-014,Achseljoch,,,,,,False,False,,,False,,,False,,Tirol,Austria,AUT,True,47.4258,10.7433,JN57IK,2020,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/TL-014,,
OE/KT-092,Ackerlhöhe,,,,,,False,False,,,False,,,False,,Kärnten,Austria,AUT,True,47.0456,14.1256,JN77BB,2040,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/KT-092,,
OE/TI-317,Ackerlspitze,,,,,,False,False,,,False,,,False,,Tirol,Austria,AUT,True,47.5592,12.3469,JN67EN,2329,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/TI-317,,
OE/TI-468,Aggenstein,,,,,,False,False,,,False,,,False,,Tirol,Austria,AUT,True,47.5369,10.5572,JN57GM,1986,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/TI-468,,
OE/TI-070,Ahornspitze,,,,,,False,False,,,False,,,False,,Tirol,Austria,AUT,True,47.13,11.9178,JN57XD,2973,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/TI-070,,
OE/ST-439,Ahrnspitz,,,,,,False,False,,,False,,,False,,Steiermark,Austria,AUT,True,47.3476,13.9915,JN67XI,2014,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/ST-439,,
