Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
70,SOTA-Summits,OE/NO-302 Absand,Niederoes 896m,,,,,,GPS,,,,Exact,47.755,15.9592,+1:00
70,SOTA-Summits,OE/TI-830 Acherk,Tirol 3007m,,,,,,GPS,,,,Exact,47.1892,10.9567,+1:00
70,SOTA-Summits,OE/SB-442 Achhor,Salzburg 1316m,,,,,,GPS,,,,Exact,47.6531,12.7586,+1:00
70,SOTA-Summits,OE/TI-671 Achlei,Tirol 1229m,,,,,,GPS,,,,Exact,47.5328,12.2042,+1:00
70,SOTA-Summits,OE/ST-350 Achner,Steierma 1824m,,,,,,GPS,,,,Exact,47.4819,14.7592,+1:00
70,SOTA-Summits,OE/TL-014 Achsel,Tirol 2020m,,,,,,GPS,,,,Exact,47.4258,10.7433,+1:00
70,SOTA-Summits,OE/KT-092 Ackerl,Kaernten 2040m,,,,,,GPS,,,,Exact,47.0456,14.1256,+1:00
70,SOTA-Summits,OE/TI-317 Ackerl,Tirol 2329m,,,,,,GPS,,,,Exact,47.5592,12.3469,+1:00
70,SOTA-Summits,OE/TI-468 Aggens,Tirol 1986m,,,,,,GPS,,,,Exact,47.5369,10.5572,+1:00
70,SOTA-Summits,OE/TI-070 Ahorns,Tirol 2973m,,,,,,GPS,,,,Exact,47.13,11.9178,+1:00
70,SOTA-Summits,OE/ST-439 Ahrnsp,Steierma 2014m,,,,,,GPS,,,,Exact,47.3476,13.9915,+1:00
70,SOTA-Summits,OE/ST-468 Aibelh,Steierma 1449m,,,,,,GPS,,,,Exact,47.4133,15.5821,+1:00
70,SOTA-Summits,OE/SB-119 Aineck,Salzburg 2210m,,,,,,GPS,,,,Exact,47.0556,13.6378,+1:00
70,SOTA-Summits,OE/ST-571 Akogel,Steierma 1190m,,,,,,GPS,,,,Exact,47.6768,14.8053,+1:00
70,SOTA-Summits,OE/TI-817 Alkuse,Tirol 3053m,,,,,,GPS,,,,Exact,46.9175,12.7317,+1:00
70,SOTA-Summits,OE/NO-239 Almesb,Niederoes 1079m,,,,,,GPS,,,,Exact,47.9356,15.9206,+1:00
70,SOTA-Summits,OE/OO-193 Almkog,Oberoeste 2116m,,,,,,GPS,,,,Exact,47.6194,14.0931,+1:00
70,SOTA-Summits,OE/OO-247 Almkog,Oberoeste 1513m,,,,,,GPS,,,,Exact,47.8256,14.5647,+1:00
70,SOTA-Summits,OE/ST-529 Almmau,Steierma 1764m,,,,,,GPS,,,,Exact,47.6249,14.7167,+1:00
70,SOTA-Summits,OE/OO-300 Alpenb,Oberoeste 973m,,,,,,GPS,,,,Exact,47.9225,13.6642,+1:00
