callsign,name,band,freq_tx,freq_rx,ctcss_tx,ctcss_rx,c4fm,dmr,dmr_id,dmr_cc,dstar,dstar_rpt1,dstar_rpt2,fm,landmark,state,country,country_code,loc_exact,lat,long,locator,sea_level,skip,scan_group,source_id,source_name,source_provider,source_type,source_license,source_url,offset,dup,ctcss,simplex,split,multimode,name_formatted,distance,heading
,Kronehit,radio,87.6,87.6,,,False,False,,,False,,,True,,Kärnten,Austria,AUT,True,46.75,14.809444,JN76JS,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Kronehit,radio,87.7,87.7,,,False,False,,,False,,,True,Burgstein,Tirol,Austria,AUT,True,47.057222,10.968889,JN57LB,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Kronehit,radio,87.8,87.8,,,False,False,,,False,,,True,Lochmühl,Tirol,Austria,AUT,True,46.976667,10.220833,JN56CX,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Kronehit,radio,87.9,87.9,,,False,False,,,False,,,True,Kronberg,Oberösterreich,Austria,AUT,True,47.933889,13.726389,JN67UW,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Welle 1 T,radio,88.0,88.0,,,False,False,,,False,,,True,Volderberg,Tirol,Austria,AUT,True,47.274444,11.581389,JN57SG,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Ö3,radio,88.1,88.1,,,False,False,,,False,,,True,Katrin,Oberösterreich,Austria,AUT,True,47.69,13.580278,JN67SQ,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Njoy,radio,88.2,88.2,,,False,False,,,False,,,True,Burg Landsberg,Steiermark,Austria,AUT,True,46.813333,15.196667,JN76OT,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Life  (OÖ),radio,88.3,88.3,,,False,False,,,False,,,True,Ziehberg,Oberösterreich,Austria,AUT,True,47.898333,14.079444,JN77AV,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Freies  Freistadt,radio,88.4,88.4,,,False,False,,,False,,,True,Aussichtswarte,Oberösterreich,Austria,AUT,True,48.441111,14.681389,JN78IK,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Ö3,radio,88.5,88.5,,,False,False,,,False,,,True,Kreuzbühel,Vorarlberg,Austria,AUT,True,47.211111,9.836944,JN47WF,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
