Group No;Group Name;CH No;Name;SEL;Frequency;Dup;Offset;TS;Mode;SKIP;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign
39;Oberösterreich;00;Lichtenberg;OFF;145,600000;DUP-;0,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE5XLL;
39;Oberösterreich;01;Krippenstein;OFF;145,712500;DUP-;0,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE5XKL;
39;Oberösterreich;02;Gruenberg;OFF;145,750000;DUP-;0,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);123,0Hz;123,0Hz;23;BOTH N;;;;OE5XGL;
39;Oberösterreich;03;Geiersberg;OFF;145,775000;DUP-;0,600000;12,5kHz;FM;OFF;OFF;88,5Hz;123,0Hz;23;BOTH N;;;;OE5XUL;
39;Oberösterreich;04;Feuerkogel;OFF;438,150000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);123,0Hz;123,0Hz;23;BOTH N;;;;OE5XFK;
39;Oberösterreich;05;Senftenbach/Wolf;OFF;438,425000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);123,0Hz;123,0Hz;23;BOTH N;;;;OE5XDN;
39;Oberösterreich;06;Breitenstein;OFF;438,575000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);123,0Hz;123,0Hz;23;BOTH N;;;;OE5XOL;
39;Oberösterreich;07;Lichtenberg;OFF;438,650000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE5XLL;
39;Oberösterreich;08;Hunerkogel;OFF;438,725000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE5XDM;
39;Oberösterreich;09;Damberg;OFF;438,750000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE5XHO;
39;Oberösterreich;10;Linz Froschberg;OFF;438,775000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE5XBR;
39;Oberösterreich;11;Gruenberg;OFF;438,800000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);123,0Hz;123,0Hz;23;BOTH N;;;;OE5XGL;
39;Oberösterreich;12;Pfarrkirchen;OFF;438,950000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE5XDO;
39;Oberösterreich;13;Sternstein;OFF;438,975000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);123,0Hz;123,0Hz;23;BOTH N;;;;OE5XIM;
