Group No;Group Name;CH No;Name;SEL;Frequency;Dup;Offset;TS;Mode;SKIP;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign
40;Steiermark;00;Schoeckl;OFF;145,600000;DUP-;0,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);103,5Hz;103,5Hz;23;BOTH N;;;;OE6XAG;
40;Steiermark;01;Rennfeld;OFF;145,650000;DUP-;0,600000;12,5kHz;FM;OFF;TONE;103,5Hz;88,5Hz;23;BOTH N;;;;OE6XBG;
40;Steiermark;02;Planai;OFF;145,675000;DUP-;0,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE6XPG;
40;Steiermark;03;Lachtal;OFF;145,700000;DUP-;0,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE6XDG;
40;Steiermark;04;St. Bartholomae;OFF;438,200000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);103,5Hz;103,5Hz;23;BOTH N;;;;OE6XFD;
40;Steiermark;05;Kindberg;OFF;438,525000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE6XME;
40;Steiermark;06;Stuhleck;OFF;438,625000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE6XCD;
40;Steiermark;07;Lachtal;OFF;438,675000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);103,5Hz;103,5Hz;23;BOTH N;;;;OE6XDG;
40;Steiermark;08;Ungerdorf;OFF;438,750000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE6XGD;
40;Steiermark;09;Grambach;OFF;438,775000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE6XCG;
40;Steiermark;10;Zirbitzkogel;OFF;438,800000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE6XMD;
40;Steiermark;11;Schoeckl;OFF;438,875000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);103,5Hz;103,5Hz;23;BOTH N;;;;OE6XAG;
40;Steiermark;12;Stradner Kogel;OFF;438,975000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE6XBF;
40;Steiermark;13;Gaberl/Wiedneral;OFF;439,000000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE6XNG;
40;Steiermark;14;Pichling;OFF;439,050000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE6XPF;
40;Steiermark;15;Eisenerzer Reich;OFF;439,100000;DUP-;7,600000;12,5kHz;FM;OFF;TONE;103,5Hz;88,5Hz;23;BOTH N;;;;OE6XRE;
40;Steiermark;16;Dobl;OFF;1298,050000;DUP-;28,000000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE6XDF;
40;Steiermark;17;Schoeckl;OFF;1298,200000;DUP-;28,000000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE6XDD;
