Group;Group Name;Name;Date;Time;Latitude;Longitude;Altitude;Alarm
M;AT-Steiermark-GP;OE6XAG;02.09.2025;13:03:47;47,1988534;15,4669424;1436;OFF
M;AT-Steiermark-GP;OE6XAG;02.09.2025;13:03:47;47,1988534;15,4669424;1436;OFF
M;AT-Steiermark-GP;OE6XAG;02.09.2025;13:03:47;47,1988534;15,4669424;1436;OFF
M;AT-Steiermark-GP;OE6XAG;02.09.2025;13:03:47;47,1988534;15,4669424;1436;OFF
M;AT-Steiermark-GP;OE6XAG;02.09.2025;13:03:47;47,1988534;15,4669424;1436;OFF
M;AT-Steiermark-GP;OE6XAR;02.09.2025;13:03:47;47,25505;14,34483;1765;OFF
M;AT-Steiermark-GP;OE6XAR;02.09.2025;13:03:47;47,25505;14,34483;1765;OFF
M;AT-Steiermark-GP;OE6XBF;02.09.2025;13:03:47;46,84521579785275;15,93197822570801;607;OFF
M;AT-Steiermark-GP;OE6XBF;02.09.2025;13:03:47;46,84521579785275;15,93197822570801;607;OFF
M;AT-Steiermark-GP;OE6XBG;02.09.2025;13:03:47;47,40554;15,35936;1618;OFF
M;AT-Steiermark-GP;OE6XBG;02.09.2025;13:03:47;47,40554;15,35936;1618;OFF
M;AT-Steiermark-GP;OE6XBG;02.09.2025;13:03:47;47,40554;15,35936;1618;OFF
M;AT-Steiermark-GP;OE6XCD;02.09.2025;13:03:47;47,574167;15,79;1781;OFF
M;AT-Steiermark-GP;OE6XCG;02.09.2025;13:03:47;47,00617;15,4962;337;OFF
M;AT-Steiermark-GP;OE6XDD;02.09.2025;13:03:47;47,1988534;15,4669424;1436;OFF
M;AT-Steiermark-GP;OE6XDF;02.09.2025;13:03:47;46,94991;15,37989;349;OFF
M;AT-Steiermark-GP;OE6XDF;02.09.2025;13:03:47;46,94991;15,37989;349;OFF
M;AT-Steiermark-GP;OE6XDG;02.09.2025;13:03:47;47,25505;14,34483;1765;OFF
M;AT-Steiermark-GP;OE6XDG;02.09.2025;13:03:47;47,25505;14,34483;1765;OFF
M;AT-Steiermark-GP;OE6XDG;02.09.2025;13:03:47;47,25505;14,34483;1765;OFF
M;AT-Steiermark-GP;OE6XFD;02.09.2025;13:03:47;47,07115042743464;15,2565295174363;475;OFF
M;AT-Steiermark-GP;OE6XGD;02.09.2025;13:03:47;47,0938;15,69455;406;OFF
M;AT-Steiermark-GP;OE6XLR;02.09.2025;13:03:47;47,35869726113119;15,188078284263613;1626;OFF
M;AT-Steiermark-GP;OE6XMD;02.09.2025;13:03:47;47,063469;14,567296;2394;OFF
M;AT-Steiermark-GP;OE6XMD;02.09.2025;13:03:47;47,063469;14,567296;2394;OFF
M;AT-Steiermark-GP;OE6XME;02.09.2025;13:03:47;47,50585;15,44903;568;OFF
M;AT-Steiermark-GP;OE6XME;02.09.2025;13:03:47;47,50585;15,44903;568;OFF
M;AT-Steiermark-GP;OE6XNG;02.09.2025;13:03:47;47,11856;14,93233;1596;OFF
M;AT-Steiermark-GP;OE6XPF;02.09.2025;13:03:47;46,91079;15,2744;355;OFF
M;AT-Steiermark-GP;OE6XPG;02.09.2025;13:03:47;47,369088;13,726221;1905;OFF
M;AT-Steiermark-GP;OE6XRE;02.09.2025;13:03:47;47,500836856013976;14,932286739349369;2135;OFF
