Group No;Group Name;CH No;Name;SEL;Frequency;Dup;Offset;TS;Mode;SKIP;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign;Latitude;Longitude;Locator;Landmark
40;Steiermark;00;Schoeckl;OFF;145,600000;DUP-;0,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);103,5Hz;103,5Hz;23;BOTH N;;;;OE6XAG;;47.1988534;15.4669424;JN77RE;Schöckl
40;Steiermark;01;Rennfeld;OFF;145,650000;DUP-;0,600000;12,5kHz;FM;OFF;TONE;103,5Hz;88,5Hz;23;BOTH N;;;;OE6XBG;;47.40554;15.35936;JN77QJ;Übelstein
40;Steiermark;02;Planai;OFF;145,675000;DUP-;0,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE6XPG;;47.369088;13.726221;JN67UI;Untertal
40;Steiermark;03;Lachtal;OFF;145,700000;DUP-;0,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE6XDG;;47.25505;14.34483;JN77EG;Schönberg
40;Steiermark;04;St. Bartholomae;OFF;438,200000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);103,5Hz;103,5Hz;23;BOTH N;;;;OE6XFD;;47.07115042743464;15.256529517436299;JN77PB;St. Bartholomä
40;Steiermark;05;Kindberg;OFF;438,525000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE6XME;;47.50585;15.44903;JN77RM;Kindberg
40;Steiermark;06;Stuhleck;OFF;438,625000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE6XCD;;47.574167;15.79;JN77VN;Spital am Semmering
40;Steiermark;07;Lachtal;OFF;438,675000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);103,5Hz;103,5Hz;23;BOTH N;;;;OE6XDG;;47.25505;14.34483;JN77EG;Schönberg
40;Steiermark;08;Ungerdorf;OFF;438,750000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE6XGD;;47.0938;15.69455;JN77UC;Ungerdorf
40;Steiermark;09;Grambach;OFF;438,775000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE6XCG;;47.00617;15.4962;JN77RA;Grambach
40;Steiermark;10;Zirbitzkogel;OFF;438,800000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE6XMD;;47.063469;14.567296;JN77GB;Granitzen
40;Steiermark;11;Schoeckl;OFF;438,875000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);103,5Hz;103,5Hz;23;BOTH N;;;;OE6XAG;;47.1988534;15.4669424;JN77RE;Schöckl
40;Steiermark;12;Stradner Kogel;OFF;438,975000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE6XBF;;46.84521579785275;15.93197822570801;JN76XU;Hochstraden
40;Steiermark;13;Gaberl/Wiedneral;OFF;439,000000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE6XNG;;47.11856;14.93233;JN77LC;Salla
40;Steiermark;14;Pichling;OFF;439,050000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE6XPF;;46.91079;15.2744;JN76PV;Pichling
40;Steiermark;15;Eisenerzer Reich;OFF;439,100000;DUP-;7,600000;12,5kHz;FM;OFF;TONE;103,5Hz;88,5Hz;23;BOTH N;;;;OE6XRE;;47.500836856013976;14.932286739349367;JN77LM;Trofeng
40;Steiermark;16;Dobl;OFF;1298,050000;DUP-;28,000000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE6XDF;;46.94991;15.37989;JN76QW;Dobl
40;Steiermark;17;Schoeckl;OFF;1298,200000;DUP-;28,000000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE6XDD;;47.1988534;15.4669424;JN77RE;Schöckl
