Group No;Group Name;CH No;Name;SEL;Frequency;Dup;Offset;TS;Mode;SKIP;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign
41;Tirol;00;Rangger Koepfl;OFF;51,910000;DUP-;0,600000;12,5kHz;FM;OFF;TONE;77,0Hz;88,5Hz;23;BOTH N;;;;OE7XBI;
41;Tirol;01;Patscherkofel;OFF;145,612500;DUP-;0,600000;12,5kHz;FM;OFF;TONE;77,0Hz;88,5Hz;23;BOTH N;;;;OE7XTI;
41;Tirol;02;Gruenberg bei Si;OFF;145,662500;DUP-;0,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE7XWH;
41;Tirol;03;Bruckerberg;OFF;145,675000;DUP-;0,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);77,0Hz;77,0Hz;23;BOTH N;;;;OE7XZH;
41;Tirol;04;Valluga;OFF;145,687500;DUP-;0,600000;12,5kHz;FM;OFF;TONE;77,0Hz;88,5Hz;23;BOTH N;;;;OE7XVR;
41;Tirol;05;Hochstein;OFF;145,700000;DUP-;0,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE7XLI;
41;Tirol;06;Hahnenkamm;OFF;145,700000;DUP-;0,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE7XRT;
41;Tirol;07;Penkenjoch;OFF;145,750000;DUP-;0,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);77,0Hz;77,0Hz;23;BOTH N;;;;OE7XTT;
41;Tirol;08;Krahberg;OFF;145,762500;DUP-;0,600000;12,5kHz;FM;OFF;TONE;77,0Hz;88,5Hz;23;BOTH N;;;;OE7XTR;
41;Tirol;09;Hohe Salve;OFF;145,775000;DUP-;0,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE7XKI;
41;Tirol;10;Wurmkogel Lift;OFF;145,787500;DUP-;0,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE7XGI;
41;Tirol;11;Ehrwald;OFF;438,225000;DUP-;7,600000;12,5kHz;FM;OFF;TONE;136,5Hz;88,5Hz;23;BOTH N;;;;OE7XET;
41;Tirol;12;Hochstein;OFF;438,300000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);77,0Hz;77,0Hz;23;BOTH N;;;;OE7XLI;
41;Tirol;13;Hollbruck;OFF;438,500000;DUP-;7,600000;12,5kHz;FM;OFF;TONE;77,0Hz;88,5Hz;23;BOTH N;;;;OE7XJH;
41;Tirol;14;Weinbergerhaus;OFF;438,600000;DUP-;7,600000;12,5kHz;FM;OFF;TONE;77,0Hz;88,5Hz;23;BOTH N;;;;OE7XWT;
41;Tirol;15;Iselsberg-Strona;OFF;438,625000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE7XLH;
41;Tirol;16;Seegrube;OFF;438,650000;DUP-;7,600000;12,5kHz;FM;OFF;TONE;77,0Hz;88,5Hz;23;BOTH N;;;;OE7XLR;
41;Tirol;17;Schoenjoechl;OFF;438,875000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE7XOI;
41;Tirol;18;Gallzein Kogelmo;OFF;438,900000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE7XFI;
41;Tirol;19;Gefrorene Wand;OFF;438,925000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);77,0Hz;77,0Hz;23;BOTH N;;;;OE7XGR;
41;Tirol;20;Ahorn;OFF;438,975000;DUP-;7,600000;12,5kHz;FM;OFF;TONE;77,0Hz;88,5Hz;23;BOTH N;;;;OE7XZT;
41;Tirol;21;Telfs Arzbergstr;OFF;439,000000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);77,0Hz;77,0Hz;23;BOTH N;;;;OE7XKG;
41;Tirol;22;Harschbichl;OFF;439,025000;DUP-;7,600000;12,5kHz;FM;OFF;TONE;77,0Hz;88,5Hz;23;BOTH N;;;;OE7XFJ;
41;Tirol;23;Rangger Koepfl;OFF;1259,200000;DUP+;-35,000000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE7XBI;
41;Tirol;24;Rangger Koepfl;OFF;2401,900000;DUP+;-48,000000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE7XBI;
