Group;Group Name;Name;Date;Time;Latitude;Longitude;Altitude;Alarm
N;AT-Tirol-GPS;OE7XBI;02.09.2025;13:03:52;47,242985;11,181174;1938;OFF
N;AT-Tirol-GPS;OE7XBI;02.09.2025;13:03:52;47,242985;11,181174;1938;OFF
N;AT-Tirol-GPS;OE7XBI;02.09.2025;13:03:52;47,242985;11,181174;1938;OFF
N;AT-Tirol-GPS;OE7XBI;02.09.2025;13:03:52;47,242985;11,181174;1938;OFF
N;AT-Tirol-GPS;OE7XBI;02.09.2025;13:03:52;47,242985;11,181174;1938;OFF
N;AT-Tirol-GPS;OE7XCJ;02.09.2025;13:03:52;47,264819;11,39865;580;OFF
N;AT-Tirol-GPS;OE7XCJ;02.09.2025;13:03:52;47,264819;11,39865;580;OFF
N;AT-Tirol-GPS;OE7XET;02.09.2025;13:03:52;47,412446419367086;10,916422724349715;998;OFF
N;AT-Tirol-GPS;OE7XFI;02.09.2025;13:03:52;47,357;11,755;1108;OFF
N;AT-Tirol-GPS;OE7XFJ;02.09.2025;13:03:52;47,48446;12,42795;1601;OFF
N;AT-Tirol-GPS;OE7XFJ;02.09.2025;13:03:52;47,48446;12,42795;1601;OFF
N;AT-Tirol-GPS;OE7XGI;02.09.2025;13:03:52;46,88041;11,08384;3020;OFF
N;AT-Tirol-GPS;OE7XGR;02.09.2025;13:03:52;47,064977;11,679196;3247;OFF
N;AT-Tirol-GPS;OE7XGR;02.09.2025;13:03:52;47,064977;11,679196;3247;OFF
N;AT-Tirol-GPS;OE7XIH;02.09.2025;13:03:52;47,183272;11,281548;2336;OFF
N;AT-Tirol-GPS;OE7XJH;02.09.2025;13:03:52;46,73872222;12,45377778;1341;OFF
N;AT-Tirol-GPS;OE7XKG;02.09.2025;13:03:52;47,318046245342174;11,078756716842635;716;OFF
N;AT-Tirol-GPS;OE7XKH;02.09.2025;13:03:52;47,145919;10,626826;2203;OFF
N;AT-Tirol-GPS;OE7XKH;02.09.2025;13:03:52;47,145919;10,626826;2203;OFF
N;AT-Tirol-GPS;OE7XKH;02.09.2025;13:03:52;47,145919;10,626826;2203;OFF
N;AT-Tirol-GPS;OE7XKI;02.09.2025;13:03:52;47,465;12,204167;1828;OFF
N;AT-Tirol-GPS;OE7XLH;02.09.2025;13:03:52;46,83869;12,84436;1130;OFF
N;AT-Tirol-GPS;OE7XLH;02.09.2025;13:03:52;46,83869;12,84436;1130;OFF
N;AT-Tirol-GPS;OE7XLH;02.09.2025;13:03:52;46,83869;12,84436;1130;OFF
N;AT-Tirol-GPS;OE7XLI;02.09.2025;13:03:52;46,82166;12,70025;2019;OFF
N;AT-Tirol-GPS;OE7XLI;02.09.2025;13:03:52;46,82166;12,70025;2019;OFF
N;AT-Tirol-GPS;OE7XLI;02.09.2025;13:03:52;46,82166;12,70025;2019;OFF
N;AT-Tirol-GPS;OE7XLI;02.09.2025;13:03:52;46,82166;12,70025;2019;OFF
N;AT-Tirol-GPS;OE7XLI;02.09.2025;13:03:52;46,82166;12,70025;2019;OFF
N;AT-Tirol-GPS;OE7XLR;02.09.2025;13:03:52;47,305572;11,377861;1913;OFF
N;AT-Tirol-GPS;OE7XOI;02.09.2025;13:03:52;47,07723879520141;10,59837341308594;2491;OFF
N;AT-Tirol-GPS;OE7XOT;02.09.2025;13:03:52;47,279243560012524;10,767288208007812;1050;OFF
N;AT-Tirol-GPS;OE7XOT;02.09.2025;13:03:52;47,279243560012524;10,767288208007812;1050;OFF
N;AT-Tirol-GPS;OE7XRT;02.09.2025;13:03:52;47,478174;10,641632;1906;OFF
N;AT-Tirol-GPS;OE7XTI;02.09.2025;13:03:52;47,208287;11,460929;2243;OFF
N;AT-Tirol-GPS;OE7XTI;02.09.2025;13:03:52;47,208287;11,460929;2243;OFF
N;AT-Tirol-GPS;OE7XTR;02.09.2025;13:03:52;47,145919;10,626826;2203;OFF
N;AT-Tirol-GPS;OE7XTR;02.09.2025;13:03:52;47,145919;10,626826;2203;OFF
N;AT-Tirol-GPS;OE7XTT;02.09.2025;13:03:52;47,168667;11,8;2086;OFF
N;AT-Tirol-GPS;OE7XTT;02.09.2025;13:03:52;47,168667;11,8;2086;OFF
N;AT-Tirol-GPS;OE7XUT;02.09.2025;13:03:52;47,483813;12,589652;1419;OFF
N;AT-Tirol-GPS;OE7XVR;02.09.2025;13:03:52;47,15761255;10,21305436;2808;OFF
N;AT-Tirol-GPS;OE7XWH;02.09.2025;13:03:52;47,28231;10,91478;1491;OFF
N;AT-Tirol-GPS;OE7XWT;02.09.2025;13:03:52;47,57772;12,20958;1269;OFF
N;AT-Tirol-GPS;OE7XWT;02.09.2025;13:03:52;47,57772;12,20958;1269;OFF
N;AT-Tirol-GPS;OE7XXR;02.09.2025;13:03:52;47,46738;11,82695;1921;OFF
N;AT-Tirol-GPS;OE7XZH;02.09.2025;13:03:52;47,381759;11,874329;1050;OFF
N;AT-Tirol-GPS;OE7XZH;02.09.2025;13:03:52;47,381759;11,874329;1050;OFF
N;AT-Tirol-GPS;OE7XZT;02.09.2025;13:03:52;47,13717;11,86928;1952;OFF
