Group No;Group Name;CH No;Name;SEL;Frequency;Dup;Offset;TS;Mode;SKIP;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign;Latitude;Longitude;Locator;Landmark
41;Tirol;00;Rangger Koepfl;OFF;51,910000;DUP-;0,600000;12,5kHz;FM;OFF;TONE;77,0Hz;88,5Hz;23;BOTH N;;;;OE7XBI;;47.242985;11.181174;JN57OF;Inzing
41;Tirol;01;Patscherkofel;OFF;145,612500;DUP-;0,600000;12,5kHz;FM;OFF;TONE;77,0Hz;88,5Hz;23;BOTH N;;;;OE7XTI;;47.208287;11.460929;JN57RE;Patsch
41;Tirol;02;Gruenberg bei Si;OFF;145,662500;DUP-;0,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE7XWH;;47.28231;10.91478;JN57KG;Obsteig
41;Tirol;03;Bruckerberg;OFF;145,675000;DUP-;0,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);77,0Hz;77,0Hz;23;BOTH N;;;;OE7XZH;;47.381759;11.874329;JN57WJ;Bruck am Ziller
41;Tirol;04;Valluga;OFF;145,687500;DUP-;0,600000;12,5kHz;FM;OFF;TONE;77,0Hz;88,5Hz;23;BOTH N;;;;OE7XVR;;47.15761255;10.21305436;JN57CD;Kaisers
41;Tirol;05;Hochstein;OFF;145,700000;DUP-;0,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE7XLI;;46.82166;12.70025;JN66IT;Patriasdorf
41;Tirol;06;Hahnenkamm;OFF;145,700000;DUP-;0,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE7XRT;;47.478174;10.641632;JN57HL;Höfen
41;Tirol;07;Penkenjoch;OFF;145,750000;DUP-;0,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);77,0Hz;77,0Hz;23;BOTH N;;;;OE7XTT;;47.168667;11.8;JN57VE;Finkenberg
41;Tirol;08;Krahberg;OFF;145,762500;DUP-;0,600000;12,5kHz;FM;OFF;TONE;77,0Hz;88,5Hz;23;BOTH N;;;;OE7XTR;;47.145919;10.626826;JN57HD;Zams
41;Tirol;09;Hohe Salve;OFF;145,775000;DUP-;0,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE7XKI;;47.465;12.204167;JN67CL;Westendorf
41;Tirol;10;Wurmkogel Lift;OFF;145,787500;DUP-;0,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE7XGI;;46.88041;11.08384;JN56NV;Sölden
41;Tirol;11;Ehrwald;OFF;438,225000;DUP-;7,600000;12,5kHz;FM;OFF;TONE;136,5Hz;88,5Hz;23;BOTH N;;;;OE7XET;;47.412446419367086;10.916422724349717;JN57KJ;Ehrwald
41;Tirol;12;Hochstein;OFF;438,300000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);77,0Hz;77,0Hz;23;BOTH N;;;;OE7XLI;;46.82166;12.70025;JN66IT;Patriasdorf
41;Tirol;13;Hollbruck;OFF;438,500000;DUP-;7,600000;12,5kHz;FM;OFF;TONE;77,0Hz;88,5Hz;23;BOTH N;;;;OE7XJH;;46.73872222;12.45377778;JN66FR;Hollbruck
41;Tirol;14;Weinbergerhaus;OFF;438,600000;DUP-;7,600000;12,5kHz;FM;OFF;TONE;77,0Hz;88,5Hz;23;BOTH N;;;;OE7XWT;;47.57772;12.20958;JN67CN;Kufstein
41;Tirol;15;Iselsberg-Strona;OFF;438,625000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE7XLH;;46.83869;12.84436;JN66KU;Iselsberg
41;Tirol;16;Seegrube;OFF;438,650000;DUP-;7,600000;12,5kHz;FM;OFF;TONE;77,0Hz;88,5Hz;23;BOTH N;;;;OE7XLR;;47.305572;11.377861;JN57QH;Hötting
41;Tirol;17;Schoenjoechl;OFF;438,875000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE7XOI;;47.07723879520141;10.59837341308594;JN57HB;Fiss
41;Tirol;18;Gallzein Kogelmo;OFF;438,900000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE7XFI;;47.357;11.755;JN57VI;Gallzein
41;Tirol;19;Gefrorene Wand;OFF;438,925000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);77,0Hz;77,0Hz;23;BOTH N;;;;OE7XGR;;47.064977;11.679196;JN57UB;Finkenberg
41;Tirol;20;Ahorn;OFF;438,975000;DUP-;7,600000;12,5kHz;FM;OFF;TONE;77,0Hz;88,5Hz;23;BOTH N;;;;OE7XZT;;47.13717;11.86928;JN57WD;Mayrhofen
41;Tirol;21;Telfs Arzbergstr;OFF;439,000000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);77,0Hz;77,0Hz;23;BOTH N;;;;OE7XKG;;47.318046245342174;11.078756716842637;JN57MH;Telfs
41;Tirol;22;Harschbichl;OFF;439,025000;DUP-;7,600000;12,5kHz;FM;OFF;TONE;77,0Hz;88,5Hz;23;BOTH N;;;;OE7XFJ;;47.48446;12.42795;JN67FL;St. Johann in Tirol
41;Tirol;23;Rangger Koepfl;OFF;1259,200000;DUP+;-35,000000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE7XBI;;47.242985;11.181174;JN57OF;Inzing
41;Tirol;24;Rangger Koepfl;OFF;2401,900000;DUP+;-48,000000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE7XBI;;47.242985;11.181174;JN57OF;Inzing
