Group;Group Name;Name;Date;Time;Latitude;Longitude;Altitude;Alarm
O;AT-Kärnten-GPS;OE8XCK;02.09.2025;13:04:04;46,61189;14,29801;441;OFF
O;AT-Kärnten-GPS;OE8XDK;02.09.2025;13:04:04;46,76179;13,45725;2049;OFF
O;AT-Kärnten-GPS;OE8XDK;02.09.2025;13:04:04;46,76179;13,45725;2049;OFF
O;AT-Kärnten-GPS;OE8XDK;02.09.2025;13:04:04;46,76179;13,45725;2049;OFF
O;AT-Kärnten-GPS;OE8XDK;02.09.2025;13:04:04;46,76179;13,45725;2049;OFF
O;AT-Kärnten-GPS;OE8XFK;02.09.2025;13:04:04;46,603397;13,670989;2159;OFF
O;AT-Kärnten-GPS;OE8XFK;02.09.2025;13:04:04;46,603397;13,670989;2159;OFF
O;AT-Kärnten-GPS;OE8XFQ;02.09.2025;13:04:04;46,603397;13,670989;2159;OFF
O;AT-Kärnten-GPS;OE8XGK;02.09.2025;13:04:04;46,56579;13,83948;507;OFF
O;AT-Kärnten-GPS;OE8XKK;02.09.2025;13:04:04;46,608914;14,14479;849;OFF
O;AT-Kärnten-GPS;OE8XKK;02.09.2025;13:04:04;46,608914;14,14479;849;OFF
O;AT-Kärnten-GPS;OE8XKK;02.09.2025;13:04:04;46,608914;14,14479;849;OFF
O;AT-Kärnten-GPS;OE8XKP;02.09.2025;13:04:04;46,93639;14,67506;1626;OFF
O;AT-Kärnten-GPS;OE8XKQ;02.09.2025;13:04:04;46,695;13,914167;1909;OFF
O;AT-Kärnten-GPS;OE8XKQ;02.09.2025;13:04:04;46,695;13,914167;1909;OFF
O;AT-Kärnten-GPS;OE8XMK;02.09.2025;13:04:04;46,728051;14,429426;1059;OFF
O;AT-Kärnten-GPS;OE8XMK;02.09.2025;13:04:04;46,728051;14,429426;1059;OFF
O;AT-Kärnten-GPS;OE8XMK;02.09.2025;13:04:04;46,728051;14,429426;1059;OFF
O;AT-Kärnten-GPS;OE8XMK;02.09.2025;13:04:04;46,728051;14,429426;1059;OFF
O;AT-Kärnten-GPS;OE8XMK;02.09.2025;13:04:04;46,728051;14,429426;1059;OFF
O;AT-Kärnten-GPS;OE8XNK;02.09.2025;13:04:04;46,695;13,914167;1909;OFF
O;AT-Kärnten-GPS;OE8XOK;02.09.2025;13:04:04;46,76179;13,45725;2049;OFF
O;AT-Kärnten-GPS;OE8XPK;02.09.2025;13:04:04;46,518507;14,772985;1678;OFF
O;AT-Kärnten-GPS;OE8XPK;02.09.2025;13:04:04;46,518507;14,772985;1678;OFF
O;AT-Kärnten-GPS;OE8XPK;02.09.2025;13:04:04;46,518507;14,772985;1678;OFF
O;AT-Kärnten-GPS;OE8XPK;02.09.2025;13:04:04;46,518507;14,772985;1678;OFF
O;AT-Kärnten-GPS;OE8XPK;02.09.2025;13:04:04;46,518507;14,772985;1678;OFF
O;AT-Kärnten-GPS;OE8XPK;02.09.2025;13:04:04;46,518507;14,772985;1678;OFF
O;AT-Kärnten-GPS;OE8XVK;02.09.2025;13:04:04;46,61612;13,85777;494;OFF
O;AT-Kärnten-GPS;OE8XVK;02.09.2025;13:04:04;46,61612;13,85777;494;OFF
O;AT-Kärnten-GPS;OE8XWK;02.09.2025;13:04:04;46,80088;14,43904;620;OFF
O;AT-Kärnten-GPS;OE8XWZ;02.09.2025;13:04:04;46,66441;14,25703;456;OFF
