Group No;Group Name;CH No;Name;SEL;Frequency;Dup;Offset;TS;Mode;SKIP;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign;Latitude;Longitude;Locator;Landmark
42;Kärnten;00;Magdalensberg;OFF;145,625000;DUP-;0,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);88,5Hz;88,5Hz;23;BOTH N;;;;OE8XMK;;46.728051;14.429426;JN76FR;Ottmanach
42;Kärnten;01;Goldeck;OFF;145,650000;DUP-;0,600000;12,5kHz;FM;OFF;TONE;88,5Hz;88,5Hz;23;BOTH N;;;;OE8XDK;;46.76179;13.45725;JN66RS;Stockenboi
42;Kärnten;02;Goldeck;OFF;145,650000;DUP-;0,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE8XOK;;46.76179;13.45725;JN66RS;Stockenboi
42;Kärnten;03;Petzen;OFF;145,737500;DUP-;0,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);88,5Hz;88,5Hz;23;BOTH N;;;;OE8XPK;;46.518507;14.772985;JN76JM;Unterort
42;Kärnten;04;Gerlitzen;OFF;145,762500;DUP-;0,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE8XNK;;46.695;13.914166999999999;JN66WQ;Sauerwald
42;Kärnten;05;Klippitztoerl;OFF;438,300000;DUP-;7,600000;12,5kHz;FM;OFF;TONE;88,5Hz;88,5Hz;23;BOTH N;;;;OE8XKP;;46.93639;14.67506;JN76IW;Leiwald
42;Kärnten;06;Villach LKH;OFF;438,550000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);88,5Hz;88,5Hz;23;BOTH N;;;;OE8XVK;;46.61612;13.85777;JN66WO;Villach
42;Kärnten;07;Magdalensberg;OFF;438,575000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);88,5Hz;88,5Hz;23;BOTH N;;;;OE8XMK;;46.728051;14.429426;JN76FR;Ottmanach
42;Kärnten;08;Rossegger Str/LW;OFF;438,650000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE8XCK;;46.61189;14.29801;JN76DO;Waidmannsdorf
42;Kärnten;09;Dobratsch;OFF;438,900000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);88,5Hz;88,5Hz;23;BOTH N;;;;OE8XFK;;46.603397;13.670989;JN66UO;Bleiberg
42;Kärnten;10;Goldeck;OFF;439,000000;DUP-;7,600000;12,5kHz;FM;OFF;TONE;88,5Hz;88,5Hz;23;BOTH N;;;;OE8XDK;;46.76179;13.45725;JN66RS;Stockenboi
42;Kärnten;11;Gerlitzen;OFF;439,050000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);88,5Hz;88,5Hz;23;BOTH N;;;;OE8XKQ;;46.695;13.914166999999999;JN66WQ;Sauerwald
42;Kärnten;12;Petzen;OFF;439,087500;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE8XPK;;46.518507;14.772985;JN76JM;Unterort
42;Kärnten;13;Dobratsch;OFF;1298,150000;DUP-;28,000000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE8XFQ;;46.603397;13.670989;JN66UO;Bleiberg
