Group,Group Name,Name,Date,Time,Latitude,Longitude,Altitude,Alarm
U,POTA-AT,13 Buchberg Nature Reserve,09/04/2025,00:00:00,47.9502,13.1061,,OFF
U,POTA-AT,39 Hohe Tauern National Park,09/04/2025,00:00:00,47.0667,12.6667,,OFF
U,POTA-AT,53 Huettschlager Talschluesse Nature Reserve,09/04/2025,00:00:00,47.1402,13.2902,,OFF
U,POTA-AT,54 Obertauern Nature Reserve,09/04/2025,00:00:00,47.2478,13.5601,,OFF
U,POTA-AT,55 Schafberg-Salzkammergutseen Nature Reserve,09/04/2025,00:00:00,47.7999,13.4642,,OFF
U,POTA-AT,76 Trumer Seen Nature Reserve,09/04/2025,00:00:00,47.9794,13.1045,,OFF
U,POTA-AT,77 Wallersee Nature Reserve,09/04/2025,00:00:00,47.91,13.1622,,OFF
U,POTA-AT,82 Fuschlsee Nature Reserve,09/04/2025,00:00:00,47.8038,13.2758,,OFF
U,POTA-AT,83 Tappenkarsee Nature Reserve,09/04/2025,00:00:00,47.1926,13.3198,,OFF
U,POTA-AT,84 Zeller See Nature Reserve,09/04/2025,00:00:00,47.3198,12.8046,,OFF
U,POTA-AT,282 European long-distance hiking trail (E4) Na...,09/04/2025,00:00:00,48.0737,16.1617,,OFF
U,POTA-AT,291 Zentralalpenweg 02 National Scenic Trail,09/04/2025,00:00:00,47.2714,14.7821,,OFF
U,POTA-AT,322 Nordmoor am Mattsee Nature Conservation Res...,09/04/2025,00:00:00,47.9939,13.1512,,OFF
U,POTA-AT,328 Hammerauer-Moor Nature Conservation Reserve,09/04/2025,00:00:00,47.7684,13.0071,,OFF
U,POTA-AT,329 Ursprunger Moor Nature Conservation Reserve,09/04/2025,00:00:00,47.8859,13.0619,,OFF
U,POTA-AT,330 Weidmoos Nature Conservation Reserve,09/04/2025,00:00:00,48.0292,12.9446,,OFF
U,POTA-AT,333 Oichtenriede National Conservation Area,09/04/2025,00:00:00,48.0202,13.0447,,OFF
U,POTA-AT,334 Obertummer See Nature Recreation Reserve,09/04/2025,00:00:00,47.9611,13.0806,,OFF
U,POTA-AT,335 Egelseen National Conservation Area,09/04/2025,00:00:00,47.9595,13.1256,,OFF
U,POTA-AT,336 Blinklingmoos Nature Conservation Reserve,09/04/2025,00:00:00,47.7175,13.4681,,OFF
U,POTA-AT,337 Buermooser Moor Nature Conservation Reserve,09/04/2025,00:00:00,47.9994,12.9278,,OFF
