Group,Group Name,Name,Date,Time,Latitude,Longitude,Altitude,Alarm
U,POTA-AT,1 Schweizergarten Park,09/04/2025,00:00:00,48.1869,16.3857,,OFF
U,POTA-AT,2 Vienna Prater Recreation Park,09/04/2025,00:00:00,48.2035,16.4175,,OFF
U,POTA-AT,3 Schoenbrunner Schlosspark Park,09/04/2025,00:00:00,48.1816,16.3105,,OFF
U,POTA-AT,4 Schoenbrunner Tiergarten Park,09/04/2025,00:00:00,48.1822,16.3046,,OFF
U,POTA-AT,5 Lainzer Tiergarten Park,09/04/2025,00:00:00,48.1845,16.2191,,OFF
U,POTA-AT,46 Botanischer garten Wien County Showground,09/04/2025,00:00:00,48.1924,16.3841,,OFF
U,POTA-AT,174 Wienerberg Recreatiion Area Recreation Park,09/04/2025,00:00:00,48.1611,16.3462,,OFF
U,POTA-AT,187 Augarten Park,09/04/2025,00:00:00,48.2261,16.3767,,OFF
U,POTA-AT,188 Theresa-Tauscher-Park Park,09/04/2025,00:00:00,48.2602,16.4297,,OFF
U,POTA-AT,189 Forsthauspark Park,09/04/2025,00:00:00,48.2443,16.374,,OFF
U,POTA-AT,190 Donauinsel Park,09/04/2025,00:00:00,48.2512,16.3838,,OFF
U,POTA-AT,203 Laaer Wald Recreation Park,09/04/2025,00:00:00,48.1607,16.3964,,OFF
U,POTA-AT,204 Kurpark Oberlaa Park,09/04/2025,00:00:00,48.1487,16.4001,,OFF
U,POTA-AT,213 Donaupark Recreation Park,09/04/2025,00:00:00,48.2393,16.4115,,OFF
U,POTA-AT,281 East Austrian borderland route (07) Nationa...,09/04/2025,00:00:00,48.1357,16.6334,,OFF
U,POTA-AT,282 European long-distance hiking trail (E4) Na...,09/04/2025,00:00:00,48.0737,16.1617,,OFF
U,POTA-AT,283 Lower Austrian state circular hiking trail ...,09/04/2025,00:00:00,48.303,15.1015,,OFF
U,POTA-AT,316 Lobau Nature Reserve,09/04/2025,00:00:00,48.1887,16.5127,,OFF
