Group,Group Name,Name,Date,Time,Latitude,Longitude,Altitude,Alarm
W,POTA-SG,6 Bukit Batok Town Park National Park,09/04/2025,00:00:00,1.3556,103.755,,OFF
W,POTA-SG,11 Choa Chu Kang Park,09/04/2025,00:00:00,1.3869,103.747,,OFF
W,POTA-SG,12 Clementi Woods Park,09/04/2025,00:00:00,1.3017,103.767,,OFF
W,POTA-SG,22 Bukit Batok Nature Park National Park,09/04/2025,00:00:00,1.349,103.764,,OFF
W,POTA-SG,24 Jurong Central Park National Park,09/04/2025,00:00:00,1.3381,103.708,,OFF
W,POTA-SG,25 Jurong Lake Gardens National Park,09/04/2025,00:00:00,1.3367,103.727,,OFF
W,POTA-SG,28 Kranji Marshes National Park,09/04/2025,00:00:00,1.4197,103.73,,OFF
W,POTA-SG,29 Kranji Reservoir Park National Park,09/04/2025,00:00:00,1.4397,103.738,,OFF
W,POTA-SG,30 Labrador Nature Reserve National Park,09/04/2025,00:00:00,1.2659,103.803,,OFF
W,POTA-SG,42 Kent Ridge Park National Park,09/04/2025,00:00:00,1.2838,103.791,,OFF
W,POTA-SG,47 Sungei Buloh Wetland Reserve National Park,09/04/2025,00:00:00,1.448,103.725,,OFF
W,POTA-SG,49 Telok Blangah Hill Park National Park,09/04/2025,00:00:00,1.2788,103.811,,OFF
W,POTA-SG,50 The Southern Ridges National Park,09/04/2025,00:00:00,1.2801,103.803,,OFF
W,POTA-SG,60 Pasir Panjang Park National Park,09/04/2025,00:00:00,1.2756,103.792,,OFF
W,POTA-SG,63 One-north Park: Fusionopolis North National ...,09/04/2025,00:00:00,1.3028,103.791,,OFF
W,POTA-SG,64 One-north Park: Fusionopolis South National ...,09/04/2025,00:00:00,1.2992,103.791,,OFF
W,POTA-SG,67 West Coast Park National Park,09/04/2025,00:00:00,1.298,103.762,,OFF
