Group,Group Name,Name,Date,Time,Latitude,Longitude,Altitude,Alarm
V,POTA-SK,15 Male Karpaty - Protected Landscape Area,09/04/2025,00:00:00,48.433,17.322,,OFF
V,POTA-SK,18 Dunajske luhy - Protected Landscape Area,09/04/2025,00:00:00,47.8949,17.4982,,OFF
V,POTA-SK,28 Zahorie - Protected Landscape Area,09/04/2025,00:00:00,48.44,16.87,,OFF
V,POTA-SK,43 Horsky park - Protected Area,09/04/2025,00:00:00,48.1575,17.0912,,OFF
V,POTA-SK,78 Park Kastiel Tomasov - National Monument,09/04/2025,00:00:00,48.1381,17.3232,,OFF
V,POTA-SK,79 Park Kastiel Budmerice - National Monument,09/04/2025,00:00:00,48.3633,17.3962,,OFF
V,POTA-SK,80 Zamocky park Malacky - National Monument,09/04/2025,00:00:00,48.4398,17.0312,,OFF
V,POTA-SK,82 Sad Janka Krala - National Monument,09/04/2025,00:00:00,48.1349,17.1094,,OFF
V,POTA-SK,109 Slavin - National Monument,09/04/2025,00:00:00,48.1539,17.0996,,OFF
V,POTA-SK,110 Park Kastiel Vinosady - National Monument,09/04/2025,00:00:00,48.3153,17.2953,,OFF
V,POTA-SK,111 Park Kastiel Modra - National Monument,09/04/2025,00:00:00,48.3412,17.3126,,OFF
V,POTA-SK,112 Zamocky park Pezinok - National Monument,09/04/2025,00:00:00,48.2919,17.2668,,OFF
V,POTA-SK,113 Park Kastiel Bernolakovo - National Monument,09/04/2025,00:00:00,48.2035,17.2861,,OFF
V,POTA-SK,114 Park Kastiel Ivanka pri Dunaji - National M...,09/04/2025,00:00:00,48.1915,17.2579,,OFF
V,POTA-SK,115 Park Kastiel Velky Biel - National Monument,09/04/2025,00:00:00,48.2159,17.3616,,OFF
V,POTA-SK,116 Park Kastiel Ruzinov - National Monument,09/04/2025,00:00:00,48.1446,17.1671,,OFF
