Group,Group Name,Name,Date,Time,Latitude,Longitude,Altitude,Alarm
V,POTA-SK,15 Male Karpaty - Protected Landscape Area,09/04/2025,00:00:00,48.433,17.322,,OFF
V,POTA-SK,18 Dunajske luhy - Protected Landscape Area,09/04/2025,00:00:00,47.8949,17.4982,,OFF
V,POTA-SK,28 Zahorie - Protected Landscape Area,09/04/2025,00:00:00,48.44,16.87,,OFF
V,POTA-SK,37 Abrahamsky park - Protected Area,09/04/2025,00:00:00,48.2429,17.6349,,OFF
V,POTA-SK,41 Gabcikovsky park - Protected Area,09/04/2025,00:00:00,47.8929,17.5882,,OFF
V,POTA-SK,42 Galantsky park - Protected Area,09/04/2025,00:00:00,48.1923,17.7365,,OFF
V,POTA-SK,44 Hubicky park - Protected Area,09/04/2025,00:00:00,48.0976,17.3961,,OFF
V,POTA-SK,49 Kosutsky park - Protected Area,09/04/2025,00:00:00,48.1713,17.6633,,OFF
V,POTA-SK,51 Kralovicovokraciansky park - Protected Area,09/04/2025,00:00:00,47.9912,17.5529,,OFF
V,POTA-SK,60 Kosuty - Protected Area,09/04/2025,00:00:00,48.1685,17.658,,OFF
V,POTA-SK,61 Rohovsky park - Protected Area,09/04/2025,00:00:00,48.0007,17.4029,,OFF
V,POTA-SK,64 Seredsky park - Protected Area,09/04/2025,00:00:00,48.2875,17.7441,,OFF
V,POTA-SK,65 Sladkovicovsky park - Protected Area,09/04/2025,00:00:00,48.2055,17.6473,,OFF
V,POTA-SK,68 Salgociansky park - Protected Area,09/04/2025,00:00:00,48.3317,17.8147,,OFF
V,POTA-SK,71 Tomasikovsky park - Protected Area,09/04/2025,00:00:00,48.0864,17.6986,,OFF
V,POTA-SK,72 Tonkovsky park - Protected Area,09/04/2025,00:00:00,48.1163,17.4431,,OFF
V,POTA-SK,77 Hlohovecky park - Protected Area,09/04/2025,00:00:00,48.4206,17.7864,,OFF
V,POTA-SK,103 Park Kastiel Dolna Krupa - National Monument,09/04/2025,00:00:00,48.4842,17.5464,,OFF
V,POTA-SK,104 Park Kupele Piestany - National Monument,09/04/2025,00:00:00,48.5865,17.8436,,OFF
V,POTA-SK,117 Park Kastiel Vrakun - National Monument,09/04/2025,00:00:00,47.9377,17.6035,,OFF
V,POTA-SK,118 Park Kastiel Lehnice - National Monument,09/04/2025,00:00:00,48.0481,17.4534,,OFF
V,POTA-SK,119 Park Kastiel Horne Otrokovce - National Mon...,09/04/2025,00:00:00,48.4929,17.8742,,OFF
V,POTA-SK,120 Park Kastiel Koplotovce - National Monument,09/04/2025,00:00:00,48.4763,17.807,,OFF
V,POTA-SK,121 Park Kastiel Chtelnica - National Monument,09/04/2025,00:00:00,48.5662,17.6249,,OFF
V,POTA-SK,122 Park Kastiel Moravany nad Vahom - National ...,09/04/2025,00:00:00,48.6049,17.8613,,OFF
V,POTA-SK,123 Park Kastiel Rakovice - National Monument,09/04/2025,00:00:00,48.562,17.741,,OFF
V,POTA-SK,124 Park Kastiel Sokolovce - National Monument,09/04/2025,00:00:00,48.535,17.8454,,OFF
V,POTA-SK,125 Sad Andreja Kmeta - National Monument,09/04/2025,00:00:00,48.5933,17.8374,,OFF
V,POTA-SK,126 Park Kastiel Cerova - National Monument,09/04/2025,00:00:00,48.5837,17.3734,,OFF
V,POTA-SK,127 Park Kastiel Rohov - National Monument,09/04/2025,00:00:00,48.7264,17.3466,,OFF
V,POTA-SK,128 Park Kastiel Machatka - National Monument,09/04/2025,00:00:00,48.6837,17.3679,,OFF
V,POTA-SK,129 Park Kupele Smrdaky - National Monument,09/04/2025,00:00:00,48.7182,17.3029,,OFF
V,POTA-SK,130 Park Kastiel Sobotiste - National Monument,09/04/2025,00:00:00,48.731,17.4066,,OFF
V,POTA-SK,131 Park Kastiel Jablonica - National Monument,09/04/2025,00:00:00,48.6123,17.4191,,OFF
V,POTA-SK,132 Park Kastiel Brestovany - National Monument,09/04/2025,00:00:00,48.3821,17.6835,,OFF
V,POTA-SK,133 Park Kastiel Voderady - National Monument,09/04/2025,00:00:00,48.278,17.5562,,OFF
V,POTA-SK,134 Park Kastiel Cifer - National Monument,09/04/2025,00:00:00,48.3114,17.5004,,OFF
V,POTA-SK,135 Park Kastiel Trstin - National Monument,09/04/2025,00:00:00,48.5292,17.4595,,OFF
V,POTA-SK,136 Park Kastiel Galanova - National Monument,09/04/2025,00:00:00,48.4399,17.8876,,OFF
