Group,Group Name,Name,Date,Time,Latitude,Longitude,Altitude,Alarm
U,POTA-AT,8 Neusiedel Mole West State Harbor,09/04/2025,00:00:00,47.9289,16.8348,,OFF
U,POTA-AT,22 Geschriebenstein-Irottko Nature Reserve,09/04/2025,00:00:00,47.3529,16.433,,OFF
U,POTA-AT,30 Landseer Berge Nature Reserve,09/04/2025,00:00:00,47.6278,16.3503,,OFF
U,POTA-AT,34 Neusiedler See Natura 2000 Nature Reserve,09/04/2025,00:00:00,47.8576,16.7681,,OFF
U,POTA-AT,40 Neusiedler See Seewinkel National Park,09/04/2025,00:00:00,47.7707,16.7979,,OFF
U,POTA-AT,56 Suedburgenlandisches Huegel- Und Terrassenla...,09/04/2025,00:00:00,47.0885,16.4155,,OFF
U,POTA-AT,181 Feuchte Ebene - Leithaauen (Natura 2000) Na...,09/04/2025,00:00:00,47.9017,16.4216,,OFF
U,POTA-AT,182 Schlosspark Eisenstadt Country Park,09/04/2025,00:00:00,47.848,16.5166,,OFF
U,POTA-AT,183 Mattersburger Huegelland Natura 2000,09/04/2025,00:00:00,47.7373,16.3607,,OFF
U,POTA-AT,184 Parndorfer Platte - Heideboden Natura 2000,09/04/2025,00:00:00,48.007,16.9031,,OFF
U,POTA-AT,185 Naturpark Rosalia Kogelberg Nature Park,09/04/2025,00:00:00,47.7166,16.4729,,OFF
U,POTA-AT,186 Lafnitztal Natura 2000,09/04/2025,00:00:00,47.0265,16.1224,,OFF
U,POTA-AT,200 NATURPARK RAAB-OeRSEG-GORICKO Nature Park,09/04/2025,00:00:00,46.9281,16.1182,,OFF
U,POTA-AT,201 Naturpark in der Weinidylle Nature Park,09/04/2025,00:00:00,47.0547,16.455,,OFF
U,POTA-AT,202 Siegendorfer Puszta und Heide Nature Park,09/04/2025,00:00:00,47.7723,16.5379,,OFF
U,POTA-AT,207 Kurpark Bad Sauerbrunn Park,09/04/2025,00:00:00,47.7751,16.3261,,OFF
U,POTA-AT,208 Kurpark Bad Tatzmannsdorf Park,09/04/2025,00:00:00,47.3352,16.2291,,OFF
U,POTA-AT,210 Stotzinger Heide Protected Area,09/04/2025,00:00:00,47.9078,16.5254,,OFF
U,POTA-AT,214 Zylinderteich Protected Area,09/04/2025,00:00:00,47.8879,16.4221,,OFF
U,POTA-AT,215 Bubanj Protected Area,09/04/2025,00:00:00,47.8895,16.4231,,OFF
U,POTA-AT,220 Fronwiesen und Kuhlacke Protected Area,09/04/2025,00:00:00,47.8384,16.5679,,OFF
U,POTA-AT,221 Goldberg Protected Area,09/04/2025,00:00:00,47.8404,16.6414,,OFF
U,POTA-AT,222 Weisses Kreuz Protected Area,09/04/2025,00:00:00,47.8462,16.4837,,OFF
U,POTA-AT,223 Naturschutzgebiet Thenau Protected Area,09/04/2025,00:00:00,47.9399,16.7132,,OFF
U,POTA-AT,224 Naturpark Neusiedler See - Leithagebirge Na...,09/04/2025,00:00:00,47.9476,16.6888,,OFF
U,POTA-AT,227 Forchtenstein Castle Historic Site,09/04/2025,00:00:00,47.7098,16.3317,,OFF
U,POTA-AT,228 Rosalienkapelle Historic Site,09/04/2025,00:00:00,47.6976,16.3068,,OFF
U,POTA-AT,230 Burgruine Hornstein Historic Site,09/04/2025,00:00:00,47.8762,16.4543,,OFF
U,POTA-AT,231 Roemersteinbruch St.Margarethen Historic Site,09/04/2025,00:00:00,47.803,16.6349,,OFF
U,POTA-AT,232 Seebad Rust Recreation Site,09/04/2025,00:00:00,47.8012,16.6948,,OFF
U,POTA-AT,233 Tor zur Freiheit (Gate To Freedom) Historic...,09/04/2025,00:00:00,47.7572,16.6223,,OFF
U,POTA-AT,240 Neufeldersee Recreation Site,09/04/2025,00:00:00,47.8686,16.388,,OFF
U,POTA-AT,241 Hackelsberg Protected Area,09/04/2025,00:00:00,47.954,16.774,,OFF
U,POTA-AT,242 Jungerberg Protected Area,09/04/2025,00:00:00,47.9605,16.7787,,OFF
U,POTA-AT,246 Noplerberg-Biri Protected Area,09/04/2025,00:00:00,47.5281,16.4652,,OFF
U,POTA-AT,247 Naherholungsgebiet Oberwart Multiple Use Area,09/04/2025,00:00:00,47.3061,16.1715,,OFF
U,POTA-AT,255 Batthyanyfeld Protected Area,09/04/2025,00:00:00,48.0089,16.7423,,OFF
U,POTA-AT,259 Zurndorfer Eichenwald und Hutweide Protecte...,09/04/2025,00:00:00,47.9573,17.0054,,OFF
U,POTA-AT,260 Pfarrwiesen Illmitz Protected Area,09/04/2025,00:00:00,47.7631,16.817,,OFF
U,POTA-AT,261 Bridge at Andau Historic Site,09/04/2025,00:00:00,47.707,17.0769,,OFF
U,POTA-AT,262 Frauenwiesen Protected Area,09/04/2025,00:00:00,47.922,16.5327,,OFF
U,POTA-AT,263 Rochuskapelle und Hetscherlberg Protected Area,09/04/2025,00:00:00,47.8616,16.5545,,OFF
U,POTA-AT,264 Hoelzlstein Protected Area,09/04/2025,00:00:00,47.8469,16.6544,,OFF
U,POTA-AT,272 Friedenspark Hirm Park,09/04/2025,00:00:00,47.7862,16.4513,,OFF
U,POTA-AT,281 East Austrian borderland route (07) Nationa...,09/04/2025,00:00:00,48.1357,16.6334,,OFF
U,POTA-AT,282 European long-distance hiking trail (E4) Na...,09/04/2025,00:00:00,48.0737,16.1617,,OFF
U,POTA-AT,283 Lower Austrian state circular hiking trail ...,09/04/2025,00:00:00,48.303,15.1015,,OFF
U,POTA-AT,284 Burgenland hiking trail National Recreation...,09/04/2025,00:00:00,47.5033,16.3601,,OFF
U,POTA-AT,286 Jubilaeumswarte Eisenstadt Scenic Site,09/04/2025,00:00:00,47.8545,16.5052,,OFF
U,POTA-AT,287 Pfefferbuechsel Historic Site,09/04/2025,00:00:00,47.9289,16.4585,,OFF
U,POTA-AT,288 Teichwiesen Protected Area,09/04/2025,00:00:00,47.7164,16.457,,OFF
U,POTA-AT,289 Rohrbacher (Marzer) Kogel Protected Area,09/04/2025,00:00:00,47.7167,16.4507,,OFF
U,POTA-AT,291 Zentralalpenweg 02 National Scenic Trail,09/04/2025,00:00:00,47.2714,14.7821,,OFF
U,POTA-AT,296 Burgenlaendischer Mariazellerweg State Trail,09/04/2025,00:00:00,47.701,16.2912,,OFF
U,POTA-AT,299 St. Mary’s Trail M05 State Trail,09/04/2025,00:00:00,47.737,16.3975,,OFF
U,POTA-AT,300 Rosalia circular hiking State Trail,09/04/2025,00:00:00,47.7413,16.2964,,OFF
U,POTA-AT,301 Wiener Alpenbogen State Trail,09/04/2025,00:00:00,47.5598,15.9054,,OFF
U,POTA-AT,303 Fronwiesen und Johannesbach Natura 2000,09/04/2025,00:00:00,47.9286,16.4906,,OFF
U,POTA-AT,305 Sonnenbergwarte Scenic Site,09/04/2025,00:00:00,47.8761,16.4746,,OFF
U,POTA-AT,307 Erlebnisarena Neufeld Recreation Site,09/04/2025,00:00:00,47.867,16.374,,OFF
U,POTA-AT,"311 Landschaftsschutzgebiet Bernstein, Lockenha...",09/04/2025,00:00:00,47.3766,16.3586,,OFF
U,POTA-AT,312 Galgenberg Rechnitz Protected Area,09/04/2025,00:00:00,47.2987,16.4182,,OFF
U,POTA-AT,313 Waldteich Deutschkreutz Protected Area,09/04/2025,00:00:00,47.5636,16.6281,,OFF
U,POTA-AT,347 Siegendorf Auffangbecken Nodbach Protected ...,09/04/2025,00:00:00,47.7751,16.5412,,OFF
U,POTA-AT,16 Dobratsch Nature Reserve,09/04/2025,00:00:00,46.6036,13.6703,,OFF
U,POTA-AT,37 Weissensee Nature Reserve,09/04/2025,00:00:00,46.7031,13.3628,,OFF
U,POTA-AT,39 Hohe Tauern National Park,09/04/2025,00:00:00,47.0667,12.6667,,OFF
U,POTA-AT,91 Goertschacher Moos - Obermoos im Gailtal Nat...,09/04/2025,00:00:00,46.6086,13.4881,,OFF
U,POTA-AT,92 Auenmoos Protected Landscape Area,09/04/2025,00:00:00,47.0356,14.1469,,OFF
U,POTA-AT,93 Bretterich National Reserve,09/04/2025,00:00:00,46.9535,13.0207,,OFF
U,POTA-AT,94 Drobollacher Moor National Reserve,09/04/2025,00:00:00,46.5812,13.9106,,OFF
U,POTA-AT,95 Egelsee National Reserve,09/04/2025,00:00:00,46.7842,13.5606,,OFF
U,POTA-AT,96 Kirchbachgraben Natura 2000,09/04/2025,00:00:00,46.6465,13.1884,,OFF
U,POTA-AT,97 Gurina Landscape Reserve,09/04/2025,00:00:00,46.667,13.0853,,OFF
U,POTA-AT,98 Finkensteiner Moor National Reserve,09/04/2025,00:00:00,46.5678,13.8889,,OFF
U,POTA-AT,99 Flachwasserbiotop Neudenstein National Reserve,09/04/2025,00:00:00,46.6425,14.5879,,OFF
U,POTA-AT,100 Flachwasserbiotop Foederlach National Reserve,09/04/2025,00:00:00,46.5937,13.9608,,OFF
U,POTA-AT,101 Flattnitzbach-Hochmoor National Reserve,09/04/2025,00:00:00,46.9658,14.0181,,OFF
U,POTA-AT,102 Goesselsdorfer See Sued National Reserve,09/04/2025,00:00:00,46.5587,14.618,,OFF
U,POTA-AT,103 Vogelschutzgebiet Grossedlinger Teich Natio...,09/04/2025,00:00:00,46.7958,14.8433,,OFF
U,POTA-AT,104 Gruensee National Reserve,09/04/2025,00:00:00,46.6222,13.8925,,OFF
U,POTA-AT,105 Guntschacher Au National Reserve,09/04/2025,00:00:00,46.5474,14.3436,,OFF
U,POTA-AT,106 Gurkursprung National Reserve,09/04/2025,00:00:00,46.9103,13.9469,,OFF
U,POTA-AT,107 Hallegger Teiche National Reserve,09/04/2025,00:00:00,46.6433,14.2442,,OFF
U,POTA-AT,108 Hoeflein-Moor National Reserve,09/04/2025,00:00:00,46.5765,14.3959,,OFF
U,POTA-AT,109 Hoerfeld National Reserve,09/04/2025,00:00:00,47.0142,14.5128,,OFF
